CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path
xtal_60,-482.4198913574219,-7.537810802459717,AlScN/0_cif/refined/xtal_60_relaxed.cif
xtal_48,-476.7131652832031,-7.448643207550049,AlScN/0_cif/refined/xtal_48_relaxed.cif
xtal_43,-476.713134765625,-7.448642730712891,AlScN/0_cif/refined/xtal_43_relaxed.cif
xtal_89_2,-464.3517761230469,-7.255496501922607,AlScN/0_cif/refined/xtal_89_2_relaxed.cif
xtal_41,-489.0731506347656,-7.641767978668213,AlScN/0_cif/refined/xtal_41_relaxed.cif
xtal_7,-489.07281494140625,-7.641762733459473,AlScN/0_cif/refined/xtal_7_relaxed.cif
xtal_83,-482.419677734375,-7.537807464599609,AlScN/0_cif/refined/xtal_83_relaxed.cif
xtal_1,-489.07269287109375,-7.64176082611084,AlScN/0_cif/refined/xtal_1_relaxed.cif
xtal_39_1,-466.4825439453125,-7.288789749145508,AlScN/0_cif/refined/xtal_39_1_relaxed.cif
xtal_48_1,-476.7132263183594,-7.448644161224365,AlScN/0_cif/refined/xtal_48_1_relaxed.cif
xtal_20,-476.71319580078125,-7.448643684387207,AlScN/0_cif/refined/xtal_20_relaxed.cif
xtal_69,-489.0727844238281,-7.6417622566223145,AlScN/0_cif/refined/xtal_69_relaxed.cif
xtal_30,-466.48236083984375,-7.288786888122559,AlScN/0_cif/refined/xtal_30_relaxed.cif
xtal_87,-466.4821472167969,-7.288783550262451,AlScN/0_cif/refined/xtal_87_relaxed.cif
xtal_15,-489.0729675292969,-7.641765117645264,AlScN/0_cif/refined/xtal_15_relaxed.cif
xtal_26,-231.96087646484375,-7.248777389526367,AlScN/0_cif/refined/xtal_26_relaxed.cif
xtal_60_2,-489.0730895996094,-7.6417670249938965,AlScN/0_cif/refined/xtal_60_2_relaxed.cif
xtal_21,-489.0730285644531,-7.64176607131958,AlScN/0_cif/refined/xtal_21_relaxed.cif
xtal_3,-482.4196472167969,-7.537806987762451,AlScN/0_cif/refined/xtal_3_relaxed.cif
xtal_89,-489.0730285644531,-7.64176607131958,AlScN/0_cif/refined/xtal_89_relaxed.cif
xtal_33,-234.90647888183594,-7.340827465057373,AlScN/0_cif/refined/xtal_33_relaxed.cif
xtal_67,-489.0731201171875,-7.641767501831055,AlScN/0_cif/refined/xtal_67_relaxed.cif
xtal_93,-489.0728759765625,-7.641763687133789,AlScN/0_cif/refined/xtal_93_relaxed.cif
xtal_52,-466.09368896484375,-7.282713890075684,AlScN/0_cif/refined/xtal_52_relaxed.cif
xtal_84,-236.76217651367188,-7.398818016052246,AlScN/0_cif/refined/xtal_84_relaxed.cif
xtal_95,-237.23635864257812,-7.413636207580566,AlScN/0_cif/refined/xtal_95_relaxed.cif
xtal_14,-243.2745361328125,-7.602329254150391,AlScN/0_cif/refined/xtal_14_relaxed.cif
xtal_75,-234.46405029296875,-7.327001571655273,AlScN/0_cif/refined/xtal_75_relaxed.cif
xtal_20_1,-470.6699523925781,-7.354218006134033,AlScN/0_cif/refined/xtal_20_1_relaxed.cif
xtal_67_1,-470.54962158203125,-7.352337837219238,AlScN/0_cif/refined/xtal_67_1_relaxed.cif
xtal_37,-232.85964965820312,-7.276864051818848,AlScN/0_cif/refined/xtal_37_relaxed.cif
xtal_16,-475.4484558105469,-7.428882122039795,AlScN/0_cif/refined/xtal_16_relaxed.cif
xtal_45,-238.92727661132812,-7.466477394104004,AlScN/0_cif/refined/xtal_45_relaxed.cif
xtal_6,-475.3265380859375,-7.426977157592773,AlScN/0_cif/refined/xtal_6_relaxed.cif
xtal_43_1,-468.02789306640625,-7.312935829162598,AlScN/0_cif/refined/xtal_43_1_relaxed.cif
xtal_51,-468.2452087402344,-7.316331386566162,AlScN/0_cif/refined/xtal_51_relaxed.cif
xtal_60_1,-472.60009765625,-7.384376525878906,AlScN/0_cif/refined/xtal_60_1_relaxed.cif
xtal_41_1,-477.66717529296875,-7.463549613952637,AlScN/0_cif/refined/xtal_41_1_relaxed.cif
xtal_92,-466.6429443359375,-7.291296005249023,AlScN/0_cif/refined/xtal_92_relaxed.cif
xtal_18,-470.5257873535156,-7.351965427398682,AlScN/0_cif/refined/xtal_18_relaxed.cif
xtal_59,-467.5615234375,-7.3056488037109375,AlScN/0_cif/refined/xtal_59_relaxed.cif
xtal_13,-474.3395080566406,-7.41155481338501,AlScN/0_cif/refined/xtal_13_relaxed.cif
xtal_22,-487.5116271972656,-7.617369174957275,AlScN/0_cif/refined/xtal_22_relaxed.cif
xtal_85,-473.13433837890625,-7.39272403717041,AlScN/0_cif/refined/xtal_85_relaxed.cif
xtal_39,-472.36029052734375,-7.380629539489746,AlScN/0_cif/refined/xtal_39_relaxed.cif
xtal_75_1,-468.0136413574219,-7.312713146209717,AlScN/0_cif/refined/xtal_75_1_relaxed.cif
xtal_58,-479.7846984863281,-7.496635913848877,AlScN/0_cif/refined/xtal_58_relaxed.cif
xtal_44,-463.9954833984375,-7.249929428100586,AlScN/0_cif/refined/xtal_44_relaxed.cif
xtal_52_1,-469.7372741699219,-7.339644908905029,AlScN/0_cif/refined/xtal_52_1_relaxed.cif
xtal_89_1,-475.1221923828125,-7.423784255981445,AlScN/0_cif/refined/xtal_89_1_relaxed.cif
