Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Sc6Al26N32,xtal_41,-488.3397521972656,-7.630308628082275,db://218/xtal_41.cif,218
Sc6Al26N32,xtal_69,-488.0950012207031,-7.626484394073486,db://197/xtal_69.cif,197
Sc6Al26N32,xtal_1,-487.231201171875,-7.612987518310547,db://197/xtal_1.cif,197
Sc6Al26N32,xtal_7,-483.2398681640625,-7.550622940063477,db://197/xtal_7.cif,197
Sc6Al26N32,xtal_60,-482.3961181640625,-7.537439346313477,db://222/xtal_60.cif,222
Sc6Al26N32,xtal_89,-481.6896667480469,-7.526401042938232,db://217/xtal_89.cif,217
Sc6Al26N32,xtal_83,-481.22235107421875,-7.519099235534668,db://217/xtal_83.cif,217
Sc6Al26N32,xtal_15,-479.56103515625,-7.493141174316406,db://197/xtal_15.cif,197
Sc6Al26N32,xtal_22,-477.03668212890625,-7.45369815826416,db://218/xtal_22.cif,218
Sc6Al26N32,xtal_48,-476.6709899902344,-7.447984218597412,db://217/xtal_48.cif,217
Sc6Al26N32,xtal_3,-475.726806640625,-7.433231353759766,db://204/xtal_3.cif,204
Sc6Al26N32,xtal_48,-475.2397155761719,-7.4256205558776855,db://197/xtal_48.cif,197
Sc6Al26N32,xtal_43,-473.5354919433594,-7.39899206161499,db://217/xtal_43.cif,217
Sc6Al26N32,xtal_16,-473.3502502441406,-7.396097660064697,db://82/xtal_16.cif,82
Sc6Al26N32,xtal_21,-472.45574951171875,-7.3821210861206055,db://218/xtal_21.cif,218
Sc6Al26N32,xtal_20,-471.76776123046875,-7.371371269226074,db://197/xtal_20.cif,197
Sc3Al13N16,xtal_95,-235.73782348632812,-7.366806983947754,db://147/xtal_95.cif,147
Sc3Al13N16,xtal_84,-235.0001220703125,-7.343753814697266,db://2/xtal_84.cif,2
Sc6Al26N32,xtal_60,-468.92132568359375,-7.326895713806152,db://114/xtal_60.cif,114
Sc6Al26N32,xtal_41,-468.577880859375,-7.321529388427734,db://114/xtal_41.cif,114
Sc6Al26N32,xtal_67,-468.4150390625,-7.3189849853515625,db://197/xtal_67.cif,197
Sc6Al26N32,xtal_13,-468.14532470703125,-7.314770698547363,db://176/xtal_13.cif,176
Sc6Al26N32,xtal_39,-467.553466796875,-7.305522918701172,db://102/xtal_39.cif,102
Sc6Al26N32,xtal_89,-467.041015625,-7.297515869140625,db://23/xtal_89.cif,23
Sc6Al26N32,xtal_58,-466.88336181640625,-7.295052528381348,db://182/xtal_58.cif,182
Sc6Al26N32,xtal_20,-466.7029724121094,-7.292233943939209,db://79/xtal_20.cif,79
Sc6Al26N32,xtal_93,-466.4803466796875,-7.288755416870117,db://197/xtal_93.cif,197
Sc6Al26N32,xtal_39,-466.0433044433594,-7.28192663192749,db://218/xtal_39.cif,218
Sc6Al26N32,xtal_67,-465.7898254394531,-7.277966022491455,db://112/xtal_67.cif,112
Sc6Al26N32,xtal_60,-464.83062744140625,-7.262978553771973,db://218/xtal_60.cif,218
Sc6Al26N32,xtal_52,-464.1036376953125,-7.251619338989258,db://117/xtal_52.cif,117
Sc6Al26N32,xtal_87,-464.03033447265625,-7.250473976135254,db://218/xtal_87.cif,218
Sc6Al26N32,xtal_18,-463.5492858886719,-7.242957592010498,db://165/xtal_18.cif,165
Sc6Al26N32,xtal_89,-463.41583251953125,-7.240872383117676,db://218/xtal_89.cif,218
Sc3Al13N16,xtal_75,-231.54730224609375,-7.23585319519043,db://123/xtal_75.cif,123
Sc6Al26N32,xtal_85,-462.9847412109375,-7.234136581420898,db://184/xtal_85.cif,184
Sc3Al13N16,xtal_33,-231.42550659179688,-7.232047080993652,db://83/xtal_33.cif,83
Sc6Al26N32,xtal_51,-462.7610168457031,-7.230640888214111,db://48/xtal_51.cif,48
Sc6Al26N32,xtal_92,-462.57550048828125,-7.2277421951293945,db://85/xtal_92.cif,85
Sc6Al26N32,xtal_59,-462.3384094238281,-7.2240376472473145,db://97/xtal_59.cif,97
Sc6Al26N32,xtal_44,-462.23699951171875,-7.2224531173706055,db://85/xtal_44.cif,85
Sc6Al26N32,xtal_6,-461.62109375,-7.21282958984375,db://82/xtal_6.cif,82
Sc3Al13N16,xtal_45,-230.72012329101562,-7.210003852844238,db://150/xtal_45.cif,150
Sc6Al26N32,xtal_30,-461.1576843261719,-7.2055888175964355,db://218/xtal_30.cif,218
Sc3Al13N16,xtal_37,-230.52870178222656,-7.20402193069458,db://81/xtal_37.cif,81
Sc6Al26N32,xtal_43,-460.9571533203125,-7.202455520629883,db://94/xtal_43.cif,94
Sc6Al26N32,xtal_75,-460.7745056152344,-7.199601650238037,db://94/xtal_75.cif,94
Sc3Al13N16,xtal_26,-230.21356201171875,-7.194173812866211,db://75/xtal_26.cif,75
Sc6Al26N32,xtal_52,-460.0778503417969,-7.188716411590576,db://165/xtal_52.cif,165
Sc3Al13N16,xtal_14,-229.99908447265625,-7.187471389770508,db://168/xtal_14.cif,168
