Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Sc6Al26N32,xtal_1,-421.1929931640625,-6.581140518188477,db://2/xtal_1.cif,2
Sc3Al13N16,xtal_10,-201.65528869628906,-6.301727771759033,db://2/xtal_10.cif,2
Sc6Al26N32,xtal_13,-435.36767578125,-6.802619934082031,db://2/xtal_13.cif,2
Sc3Al13N16,xtal_15,-212.50852966308594,-6.6408915519714355,db://2/xtal_15.cif,2
Sc6Al26N32,xtal_17,-412.6253967285156,-6.447271823883057,db://2/xtal_17.cif,2
Sc3Al13N16,xtal_18,-223.25396728515625,-6.976686477661133,db://2/xtal_18.cif,2
Sc3Al13N16,xtal_22,-215.46461486816406,-6.733269214630127,db://2/xtal_22.cif,2
Sc3Al13N16,xtal_23,-226.91990661621094,-7.091247081756592,db://2/xtal_23.cif,2
Sc6Al26N32,xtal_24,-424.87841796875,-6.638725280761719,db://2/xtal_24.cif,2
Sc3Al13N16,xtal_29,-200.09426879882812,-6.252945899963379,db://2/xtal_29.cif,2
Sc3Al13N16,xtal_31,-215.88970947265625,-6.746553421020508,db://2/xtal_31.cif,2
Sc6Al26N32,xtal_33,-414.7547912597656,-6.480543613433838,db://2/xtal_33.cif,2
Sc6Al26N32,xtal_35,-409.03826904296875,-6.391222953796387,db://2/xtal_35.cif,2
Sc3Al13N16,xtal_37,-207.33119201660156,-6.479099750518799,db://2/xtal_37.cif,2
Sc3Al13N16,xtal_41,-215.78285217285156,-6.743214130401611,db://2/xtal_41.cif,2
Sc3Al13N16,xtal_42,-216.09173583984375,-6.752866744995117,db://2/xtal_42.cif,2
Sc3Al13N16,xtal_44,-216.68447875976562,-6.771389961242676,db://2/xtal_44.cif,2
Sc6Al26N32,xtal_45,-421.742431640625,-6.589725494384766,db://2/xtal_45.cif,2
Sc6Al26N32,xtal_48,-419.2182312011719,-6.5502848625183105,db://2/xtal_48.cif,2
Sc3Al13N16,xtal_49,-207.02584838867188,-6.469557762145996,db://2/xtal_49.cif,2
Sc3Al13N16,xtal_51,-216.60061645507812,-6.768769264221191,db://2/xtal_51.cif,2
Sc3Al13N16,xtal_52,-220.0968780517578,-6.878027439117432,db://2/xtal_52.cif,2
Sc6Al26N32,xtal_54,-413.93511962890625,-6.46773624420166,db://2/xtal_54.cif,2
Sc3Al13N16,xtal_55,-211.56666564941406,-6.6114583015441895,db://2/xtal_55.cif,2
Sc6Al26N32,xtal_57,-425.8714294433594,-6.65424108505249,db://2/xtal_57.cif,2
Sc3Al13N16,xtal_58,-214.84556579589844,-6.713923931121826,db://2/xtal_58.cif,2
Sc3Al13N16,xtal_59,-218.1044464111328,-6.8157639503479,db://2/xtal_59.cif,2
Sc3Al13N16,xtal_6,-211.87112426757812,-6.620972633361816,db://2/xtal_6.cif,2
Sc3Al13N16,xtal_61,-211.62709045410156,-6.613346576690674,db://2/xtal_61.cif,2
