Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori,formation_energy_per_atom,e_above_hull,energy_correction,status
Sc6Al26N32,xtal_41,-488.3397521972656,-7.630308628082275,db://218/xtal_41.cif,218,-1.525854976363525,0.15255351801147476,-11.552,Success
Sc6Al26N32,xtal_69,-488.0950012207031,-7.626484394073486,db://197/xtal_69.cif,197,-1.522030742354736,0.15637775202026383,-11.552,Success
Sc6Al26N32,xtal_1,-487.231201171875,-7.612987518310547,db://197/xtal_1.cif,197,-1.5085338665917964,0.16987462778320328,-11.552,Success
Sc6Al26N32,xtal_7,-483.2398681640625,-7.550622940063477,db://197/xtal_7.cif,197,-1.4461692883447261,0.2322392060302736,-11.552,Success
Sc6Al26N32,xtal_60,-482.3961181640625,-7.537439346313477,db://222/xtal_60.cif,222,-1.4329856945947261,0.2454227997802736,-11.552,Success
Sc6Al26N32,xtal_89,-481.6896667480469,-7.526401042938232,db://217/xtal_89.cif,217,-1.421947391219482,0.25646110315551773,-11.552,Success
Sc6Al26N32,xtal_83,-481.2223510742188,-7.519099235534668,db://217/xtal_83.cif,217,-1.4146455838159184,0.2637629105590813,-11.552,Success
Sc6Al26N32,xtal_15,-479.56103515625,-7.493141174316406,db://197/xtal_15.cif,197,-1.3886875225976558,0.2897209717773439,-11.552,Success
Sc6Al26N32,xtal_22,-477.0366821289063,-7.45369815826416,db://218/xtal_22.cif,218,-1.3492445065454106,0.3291639878295891,-11.552,Success
Sc6Al26N32,xtal_48,-476.6709899902344,-7.447984218597412,db://217/xtal_48.cif,217,-1.3435305668786617,0.33487792749633805,-11.552,Success
Sc6Al26N32,xtal_3,-475.726806640625,-7.433231353759766,db://204/xtal_3.cif,204,-1.3287777020410152,0.34963079233398453,-11.552,Success
Sc6Al26N32,xtal_48,-475.2397155761719,-7.425620555877685,db://197/xtal_48.cif,197,-1.3211669041589351,0.3572415902160646,-11.552,Success
Sc6Al26N32,xtal_43,-473.5354919433594,-7.39899206161499,db://217/xtal_43.cif,217,-1.2945384098962398,0.3838700844787599,-11.552,Success
Sc6Al26N32,xtal_16,-473.3502502441406,-7.396097660064697,db://82/xtal_16.cif,82,-1.2916440083459468,0.3867644860290529,-11.552,Success
Sc6Al26N32,xtal_21,-472.4557495117188,-7.382121086120605,db://218/xtal_21.cif,218,-1.277667434401856,0.4007410599731438,-11.552,Success
Sc6Al26N32,xtal_20,-471.7677612304688,-7.371371269226074,db://197/xtal_20.cif,197,-1.2669176175073247,0.41149087686767505,-11.552,Success
Sc3Al13N16,xtal_95,-235.73782348632807,-7.366806983947754,db://147/xtal_95.cif,147,-1.2623533322290017,0.416055162145998,-5.776,Success
Sc3Al13N16,xtal_84,-235.0001220703125,-7.343753814697266,db://2/xtal_84.cif,2,-1.2393001629785152,0.43910833139648453,-5.776,Success
Sc6Al26N32,xtal_60,-468.92132568359375,-7.326895713806152,db://114/xtal_60.cif,114,-1.222442062087402,0.4559664322875978,-11.552,Success
Sc6Al26N32,xtal_41,-468.577880859375,-7.321529388427734,db://114/xtal_41.cif,114,-1.217075736708984,0.4613327576660158,-11.552,Success
Sc6Al26N32,xtal_67,-468.4150390625,-7.318984985351562,db://197/xtal_67.cif,197,-1.214531333632812,0.46387716074218766,-11.552,Success
Sc6Al26N32,xtal_13,-468.1453247070313,-7.314770698547363,db://176/xtal_13.cif,176,-1.2103170468286137,0.468091447546386,-11.552,Success
Sc6Al26N32,xtal_39,-467.553466796875,-7.305522918701172,db://102/xtal_39.cif,102,-1.2010692669824214,0.4773392273925783,-11.552,Success
Sc6Al26N32,xtal_89,-467.041015625,-7.297515869140625,db://23/xtal_89.cif,23,-1.1930622174218746,0.48534627695312516,-11.552,Success
Sc6Al26N32,xtal_58,-466.8833618164063,-7.295052528381348,db://182/xtal_58.cif,182,-1.1905988766625981,0.4878096177124016,-11.552,Success
Sc6Al26N32,xtal_20,-466.7029724121094,-7.292233943939209,db://79/xtal_20.cif,79,-1.1877802922204586,0.49062820215454117,-11.552,Success
Sc6Al26N32,xtal_93,-466.4803466796875,-7.288755416870117,db://197/xtal_93.cif,197,-1.1843017651513668,0.49410672922363297,-11.552,Success
Sc6Al26N32,xtal_39,-466.0433044433594,-7.28192663192749,db://218/xtal_39.cif,218,-1.1774729802087398,0.5009355141662599,-11.552,Success
Sc6Al26N32,xtal_67,-465.7898254394531,-7.277966022491455,db://112/xtal_67.cif,112,-1.1735123707727046,0.5048961236022951,-11.552,Success
Sc6Al26N32,xtal_60,-464.8306274414063,-7.262978553771973,db://218/xtal_60.cif,218,-1.1585249020532231,0.5198835923217766,-11.552,Success
Sc6Al26N32,xtal_52,-464.1036376953125,-7.251619338989258,db://117/xtal_52.cif,117,-1.1471656872705074,0.5312428071044923,-11.552,Success
Sc6Al26N32,xtal_87,-464.03033447265625,-7.250473976135254,db://218/xtal_87.cif,218,-1.1460203244165035,0.5323881699584962,-11.552,Success
Sc6Al26N32,xtal_18,-463.5492858886719,-7.242957592010498,db://165/xtal_18.cif,165,-1.1385039402917476,0.5399045540832521,-11.552,Success
Sc6Al26N32,xtal_89,-463.4158325195313,-7.240872383117676,db://218/xtal_89.cif,218,-1.1364187313989262,0.5419897629760735,-11.552,Success
Sc3Al13N16,xtal_75,-231.54730224609372,-7.23585319519043,db://123/xtal_75.cif,123,-1.1313995434716784,0.5470089509033214,-5.776,Success
Sc6Al26N32,xtal_85,-462.9847412109375,-7.234136581420898,db://184/xtal_85.cif,184,-1.129682929702148,0.5487255646728517,-11.552,Success
Sc3Al13N16,xtal_33,-231.42550659179688,-7.232047080993652,db://83/xtal_33.cif,83,-1.127593429274902,0.5508150651000978,-5.776,Success
Sc6Al26N32,xtal_51,-462.7610168457031,-7.230640888214111,db://48/xtal_51.cif,48,-1.126187236495361,0.5522212578796388,-11.552,Success
