filename,filepath,tsne_dim1,tsne_dim2
xtal_1.cif,./Al13Sc3N16/2/xtal_1.cif,32.97181,-3.972467
xtal_10.cif,./Al13Sc3N16/2/xtal_10.cif,95.950874,7.0918145
xtal_13.cif,./Al13Sc3N16/2/xtal_13.cif,9.240085,-35.861954
xtal_15.cif,./Al13Sc3N16/2/xtal_15.cif,76.108345,10.644695
xtal_17.cif,./Al13Sc3N16/2/xtal_17.cif,58.398212,31.507542
xtal_18.cif,./Al13Sc3N16/2/xtal_18.cif,-7.6203647,-70.77699
xtal_22.cif,./Al13Sc3N16/2/xtal_22.cif,57.837013,26.697723
xtal_23.cif,./Al13Sc3N16/2/xtal_23.cif,-35.156494,-71.92325
xtal_24.cif,./Al13Sc3N16/2/xtal_24.cif,30.303896,-16.045557
xtal_29.cif,./Al13Sc3N16/2/xtal_29.cif,27.92754,0.20442966
xtal_31.cif,./Al13Sc3N16/2/xtal_31.cif,50.50431,-2.2396061
xtal_33.cif,./Al13Sc3N16/2/xtal_33.cif,33.53327,-6.219088
xtal_35.cif,./Al13Sc3N16/2/xtal_35.cif,64.672295,46.182045
xtal_37.cif,./Al13Sc3N16/2/xtal_37.cif,-14.044455,-55.90611
xtal_41.cif,./Al13Sc3N16/2/xtal_41.cif,17.536753,-53.493797
xtal_42.cif,./Al13Sc3N16/2/xtal_42.cif,-38.294918,-77.74864
xtal_44.cif,./Al13Sc3N16/2/xtal_44.cif,20.17291,-12.797904
xtal_45.cif,./Al13Sc3N16/2/xtal_45.cif,-101.31951,-32.86192
xtal_48.cif,./Al13Sc3N16/2/xtal_48.cif,-97.56906,-41.558704
xtal_49.cif,./Al13Sc3N16/2/xtal_49.cif,-107.2927,-0.049205106
xtal_51.cif,./Al13Sc3N16/2/xtal_51.cif,53.81959,7.9698668
xtal_52.cif,./Al13Sc3N16/2/xtal_52.cif,-50.041615,-79.28264
xtal_54.cif,./Al13Sc3N16/2/xtal_54.cif,38.757713,6.993293
xtal_55.cif,./Al13Sc3N16/2/xtal_55.cif,44.935192,-24.35038
xtal_57.cif,./Al13Sc3N16/2/xtal_57.cif,17.4515,-27.74845
xtal_58.cif,./Al13Sc3N16/2/xtal_58.cif,-9.846654,-66.81631
xtal_59.cif,./Al13Sc3N16/2/xtal_59.cif,-16.818983,-77.82924
xtal_6.cif,./Al13Sc3N16/2/xtal_6.cif,-10.565006,-64.4235
xtal_61.cif,./Al13Sc3N16/2/xtal_61.cif,-9.652392,-58.089058
xtal_62.cif,./Al13Sc3N16/2/xtal_62.cif,49.35447,1.2330759
xtal_63.cif,./Al13Sc3N16/2/xtal_63.cif,85.56964,-0.95131457
xtal_64.cif,./Al13Sc3N16/2/xtal_64.cif,19.933228,-41.754147
xtal_66.cif,./Al13Sc3N16/2/xtal_66.cif,-20.161688,-68.435005
xtal_67.cif,./Al13Sc3N16/2/xtal_67.cif,19.928144,-41.84787
xtal_69.cif,./Al13Sc3N16/2/xtal_69.cif,66.25103,46.334484
xtal_7.cif,./Al13Sc3N16/2/xtal_7.cif,-72.29964,-73.357315
xtal_73.cif,./Al13Sc3N16/2/xtal_73.cif,49.580643,30.51317
xtal_75.cif,./Al13Sc3N16/2/xtal_75.cif,19.340275,44.911858
xtal_78.cif,./Al13Sc3N16/2/xtal_78.cif,46.54982,18.371273
xtal_79.cif,./Al13Sc3N16/2/xtal_79.cif,20.397478,48.6334
xtal_8.cif,./Al13Sc3N16/2/xtal_8.cif,-4.324803,-53.195515
xtal_80.cif,./Al13Sc3N16/2/xtal_80.cif,-10.769515,-38.852585
xtal_81.cif,./Al13Sc3N16/2/xtal_81.cif,34.16898,11.287423
xtal_83.cif,./Al13Sc3N16/2/xtal_83.cif,44.907692,21.349113
xtal_84.cif,./Al13Sc3N16/2/xtal_84.cif,-82.78209,-65.45118
xtal_85.cif,./Al13Sc3N16/2/xtal_85.cif,75.38158,21.2273
xtal_87.cif,./Al13Sc3N16/2/xtal_87.cif,6.2150464,-41.94393
xtal_90.cif,./Al13Sc3N16/2/xtal_90.cif,-37.261303,-76.49123
xtal_97.cif,./Al13Sc3N16/2/xtal_97.cif,48.66187,67.10204
xtal_98.cif,./Al13Sc3N16/2/xtal_98.cif,57.13704,30.779268
xtal_10.cif,./Al13Sc3N16/3/xtal_10.cif,44.756557,-20.41843
xtal_100.cif,./Al13Sc3N16/3/xtal_100.cif,19.47598,-13.967225
xtal_13.cif,./Al13Sc3N16/3/xtal_13.cif,29.44011,-17.2773
xtal_14.cif,./Al13Sc3N16/3/xtal_14.cif,-62.10792,-71.2202
xtal_16.cif,./Al13Sc3N16/3/xtal_16.cif,70.684235,21.349714
xtal_17.cif,./Al13Sc3N16/3/xtal_17.cif,-38.960842,-78.47693
xtal_2.cif,./Al13Sc3N16/3/xtal_2.cif,81.945946,15.821749
xtal_21.cif,./Al13Sc3N16/3/xtal_21.cif,2.6130397,-53.23876
xtal_23.cif,./Al13Sc3N16/3/xtal_23.cif,-106.93272,-14.975003
xtal_25.cif,./Al13Sc3N16/3/xtal_25.cif,47.5511,5.2222447
xtal_26.cif,./Al13Sc3N16/3/xtal_26.cif,-60.44419,-78.01074
xtal_27.cif,./Al13Sc3N16/3/xtal_27.cif,-8.708614,-59.05883
xtal_30.cif,./Al13Sc3N16/3/xtal_30.cif,72.123344,-42.534164
xtal_32.cif,./Al13Sc3N16/3/xtal_32.cif,51.684322,19.987068
xtal_33.cif,./Al13Sc3N16/3/xtal_33.cif,-27.255169,-75.90488
xtal_36.cif,./Al13Sc3N16/3/xtal_36.cif,68.773636,41.639397
xtal_38.cif,./Al13Sc3N16/3/xtal_38.cif,-78.06937,-73.50702
xtal_41.cif,./Al13Sc3N16/3/xtal_41.cif,14.0765915,-46.74105
xtal_42.cif,./Al13Sc3N16/3/xtal_42.cif,-11.392439,-57.681046
xtal_45.cif,./Al13Sc3N16/3/xtal_45.cif,-52.026096,-77.89311
xtal_46.cif,./Al13Sc3N16/3/xtal_46.cif,13.575237,-49.054596
xtal_48.cif,./Al13Sc3N16/3/xtal_48.cif,43.564888,-7.2136025
xtal_49.cif,./Al13Sc3N16/3/xtal_49.cif,40.351562,-2.9108913
xtal_5.cif,./Al13Sc3N16/3/xtal_5.cif,-98.45629,-36.54595
xtal_50.cif,./Al13Sc3N16/3/xtal_50.cif,85.81462,-6.209226
xtal_51.cif,./Al13Sc3N16/3/xtal_51.cif,87.91433,-8.485561
xtal_52.cif,./Al13Sc3N16/3/xtal_52.cif,66.58286,17.424467
xtal_56.cif,./Al13Sc3N16/3/xtal_56.cif,84.77447,42.439137
xtal_57.cif,./Al13Sc3N16/3/xtal_57.cif,83.18798,39.465794
xtal_58.cif,./Al13Sc3N16/3/xtal_58.cif,-108.27452,-11.113396
xtal_59.cif,./Al13Sc3N16/3/xtal_59.cif,66.88602,31.727602
xtal_6.cif,./Al13Sc3N16/3/xtal_6.cif,14.619958,-34.761795
xtal_60.cif,./Al13Sc3N16/3/xtal_60.cif,-18.9345,-64.32431
xtal_65.cif,./Al13Sc3N16/3/xtal_65.cif,80.48795,35.50144
xtal_66.cif,./Al13Sc3N16/3/xtal_66.cif,57.628056,17.027485
xtal_67.cif,./Al13Sc3N16/3/xtal_67.cif,-76.75432,-71.538185
xtal_7.cif,./Al13Sc3N16/3/xtal_7.cif,9.053831,-43.72305
xtal_70.cif,./Al13Sc3N16/3/xtal_70.cif,14.798633,-35.66209
xtal_72.cif,./Al13Sc3N16/3/xtal_72.cif,52.27502,-18.667643
xtal_73.cif,./Al13Sc3N16/3/xtal_73.cif,-93.59609,-51.444885
xtal_8.cif,./Al13Sc3N16/3/xtal_8.cif,77.91098,-43.535362
xtal_81.cif,./Al13Sc3N16/3/xtal_81.cif,68.91208,-3.029588
xtal_83.cif,./Al13Sc3N16/3/xtal_83.cif,-79.782486,-69.77799
xtal_85.cif,./Al13Sc3N16/3/xtal_85.cif,52.378532,5.6798534
xtal_9.cif,./Al13Sc3N16/3/xtal_9.cif,76.75702,39.896534
xtal_92.cif,./Al13Sc3N16/3/xtal_92.cif,84.27549,-0.44698834
xtal_93.cif,./Al13Sc3N16/3/xtal_93.cif,91.435646,6.5884204
xtal_94.cif,./Al13Sc3N16/3/xtal_94.cif,-14.848222,-69.309715
xtal_96.cif,./Al13Sc3N16/3/xtal_96.cif,-11.275884,-36.508587
xtal_99.cif,./Al13Sc3N16/3/xtal_99.cif,74.64398,39.9844
xtal_1.cif,./Al13Sc3N16/4/xtal_1.cif,68.31468,38.32232
xtal_100.cif,./Al13Sc3N16/4/xtal_100.cif,47.826527,-6.4996357
xtal_11.cif,./Al13Sc3N16/4/xtal_11.cif,65.92437,-4.750521
xtal_14.cif,./Al13Sc3N16/4/xtal_14.cif,-84.67466,-63.15275
xtal_15.cif,./Al13Sc3N16/4/xtal_15.cif,11.889808,-24.038008
xtal_16.cif,./Al13Sc3N16/4/xtal_16.cif,7.0616226,-25.969204
xtal_17.cif,./Al13Sc3N16/4/xtal_17.cif,68.99778,57.30094
xtal_20.cif,./Al13Sc3N16/4/xtal_20.cif,-17.462542,-60.989136
xtal_21.cif,./Al13Sc3N16/4/xtal_21.cif,18.911478,-27.51487
xtal_22.cif,./Al13Sc3N16/4/xtal_22.cif,32.178226,-18.145811
xtal_24.cif,./Al13Sc3N16/4/xtal_24.cif,-101.364105,-30.59829
xtal_26.cif,./Al13Sc3N16/4/xtal_26.cif,86.850555,2.5900443
xtal_27.cif,./Al13Sc3N16/4/xtal_27.cif,22.032944,-22.291267
xtal_29.cif,./Al13Sc3N16/4/xtal_29.cif,-107.14691,3.4818735
xtal_32.cif,./Al13Sc3N16/4/xtal_32.cif,47.60862,21.604319
xtal_33.cif,./Al13Sc3N16/4/xtal_33.cif,-19.543259,-68.44725
