filename,filepath,tsne_dim1,tsne_dim2
xtal_1.cif,./Al13Sc3N16/__initial__/2/xtal_1.cif,5.0215254,12.750293
xtal_10.cif,./Al13Sc3N16/__initial__/2/xtal_10.cif,26.136076,91.21499
xtal_13.cif,./Al13Sc3N16/__initial__/2/xtal_13.cif,-3.0262132,-23.812637
xtal_15.cif,./Al13Sc3N16/__initial__/2/xtal_15.cif,27.61272,40.90697
xtal_17.cif,./Al13Sc3N16/__initial__/2/xtal_17.cif,50.266094,33.97793
xtal_18.cif,./Al13Sc3N16/__initial__/2/xtal_18.cif,-28.55245,-29.05705
xtal_22.cif,./Al13Sc3N16/__initial__/2/xtal_22.cif,28.751688,44.232567
xtal_23.cif,./Al13Sc3N16/__initial__/2/xtal_23.cif,-21.811993,-30.605555
xtal_24.cif,./Al13Sc3N16/__initial__/2/xtal_24.cif,13.523909,-8.004574
xtal_29.cif,./Al13Sc3N16/__initial__/2/xtal_29.cif,-48.12751,10.754352
xtal_31.cif,./Al13Sc3N16/__initial__/2/xtal_31.cif,3.7894986,82.793465
xtal_33.cif,./Al13Sc3N16/__initial__/2/xtal_33.cif,1.0845479,23.047651
xtal_35.cif,./Al13Sc3N16/__initial__/2/xtal_35.cif,48.31388,37.932186
xtal_37.cif,./Al13Sc3N16/__initial__/2/xtal_37.cif,-33.098003,5.9354134
xtal_41.cif,./Al13Sc3N16/__initial__/2/xtal_41.cif,-34.247677,10.880354
xtal_42.cif,./Al13Sc3N16/__initial__/2/xtal_42.cif,-47.95882,-23.205076
xtal_44.cif,./Al13Sc3N16/__initial__/2/xtal_44.cif,-58.70575,48.97826
xtal_45.cif,./Al13Sc3N16/__initial__/2/xtal_45.cif,-87.38209,-21.167982
xtal_48.cif,./Al13Sc3N16/__initial__/2/xtal_48.cif,-88.397964,-31.985472
xtal_49.cif,./Al13Sc3N16/__initial__/2/xtal_49.cif,-103.051414,-0.12911963
xtal_51.cif,./Al13Sc3N16/__initial__/2/xtal_51.cif,14.744211,31.64956
xtal_52.cif,./Al13Sc3N16/__initial__/2/xtal_52.cif,-55.83976,-30.877577
xtal_54.cif,./Al13Sc3N16/__initial__/2/xtal_54.cif,6.806764,27.817957
xtal_55.cif,./Al13Sc3N16/__initial__/2/xtal_55.cif,-13.766851,40.95423
xtal_57.cif,./Al13Sc3N16/__initial__/2/xtal_57.cif,5.567186,-8.724644
xtal_58.cif,./Al13Sc3N16/__initial__/2/xtal_58.cif,-31.160688,-37.929817
xtal_59.cif,./Al13Sc3N16/__initial__/2/xtal_59.cif,-38.26477,-63.526413
xtal_6.cif,./Al13Sc3N16/__initial__/2/xtal_6.cif,-31.509613,-33.718853
xtal_61.cif,./Al13Sc3N16/__initial__/2/xtal_61.cif,-31.01923,-29.035166
xtal_62.cif,./Al13Sc3N16/__initial__/2/xtal_62.cif,28.322092,51.917557
xtal_63.cif,./Al13Sc3N16/__initial__/2/xtal_63.cif,44.471252,72.42946
xtal_64.cif,./Al13Sc3N16/__initial__/2/xtal_64.cif,-18.785385,2.3379428
xtal_66.cif,./Al13Sc3N16/__initial__/2/xtal_66.cif,-29.29237,-51.573433
xtal_67.cif,./Al13Sc3N16/__initial__/2/xtal_67.cif,-66.78294,25.82185
xtal_69.cif,./Al13Sc3N16/__initial__/2/xtal_69.cif,55.51191,72.48337
xtal_7.cif,./Al13Sc3N16/__initial__/2/xtal_7.cif,-80.53539,5.1599045
xtal_73.cif,./Al13Sc3N16/__initial__/2/xtal_73.cif,43.20162,28.46079
xtal_75.cif,./Al13Sc3N16/__initial__/2/xtal_75.cif,45.01101,31.635042
xtal_78.cif,./Al13Sc3N16/__initial__/2/xtal_78.cif,0.42691898,69.87231
xtal_79.cif,./Al13Sc3N16/__initial__/2/xtal_79.cif,-7.8498774,31.05695
xtal_8.cif,./Al13Sc3N16/__initial__/2/xtal_8.cif,-34.156242,-22.647104
xtal_80.cif,./Al13Sc3N16/__initial__/2/xtal_80.cif,-30.534584,-42.072983
xtal_81.cif,./Al13Sc3N16/__initial__/2/xtal_81.cif,32.55467,19.355736
xtal_83.cif,./Al13Sc3N16/__initial__/2/xtal_83.cif,26.657375,37.107677
xtal_84.cif,./Al13Sc3N16/__initial__/2/xtal_84.cif,-46.688766,-33.68871
xtal_85.cif,./Al13Sc3N16/__initial__/2/xtal_85.cif,11.169317,45.216904
xtal_87.cif,./Al13Sc3N16/__initial__/2/xtal_87.cif,-10.906761,-30.851822
xtal_90.cif,./Al13Sc3N16/__initial__/2/xtal_90.cif,-43.98171,-44.590504
