filename,filepath,tsne_dim1,tsne_dim2
xtal_1.cif,./Al13Sc3N16/__initial__/2/xtal_1.cif,5.0219374,12.750566
xtal_10.cif,./Al13Sc3N16/__initial__/2/xtal_10.cif,26.136284,91.21479
xtal_100.cif,./Al13Sc3N16/2/xtal_100.cif,13.176322,30.582901
xtal_11.cif,./Al13Sc3N16/2/xtal_11.cif,-17.384903,86.12116
xtal_12.cif,./Al13Sc3N16/2/xtal_12.cif,-25.893404,45.657967
xtal_13.cif,./Al13Sc3N16/__initial__/2/xtal_13.cif,-3.026288,-23.8129
xtal_14.cif,./Al13Sc3N16/2/xtal_14.cif,64.4814,62.45446
xtal_15.cif,./Al13Sc3N16/__initial__/2/xtal_15.cif,27.61272,40.90697
xtal_16.cif,./Al13Sc3N16/2/xtal_16.cif,55.275658,67.38597
xtal_17.cif,./Al13Sc3N16/__initial__/2/xtal_17.cif,50.265423,33.978733
xtal_18.cif,./Al13Sc3N16/__initial__/2/xtal_18.cif,-28.55245,-29.05705
xtal_19.cif,./Al13Sc3N16/2/xtal_19.cif,11.55945,41.07264
xtal_2.cif,./Al13Sc3N16/2/xtal_2.cif,13.258103,27.266222
xtal_20.cif,./Al13Sc3N16/2/xtal_20.cif,61.161396,59.50347
xtal_21.cif,./Al13Sc3N16/2/xtal_21.cif,29.580595,43.66201
xtal_22.cif,./Al13Sc3N16/__initial__/2/xtal_22.cif,28.751688,44.232567
xtal_23.cif,./Al13Sc3N16/__initial__/2/xtal_23.cif,-21.814686,-30.604996
xtal_24.cif,./Al13Sc3N16/__initial__/2/xtal_24.cif,13.523909,-8.004574
xtal_25.cif,./Al13Sc3N16/2/xtal_25.cif,32.151134,48.761494
xtal_26.cif,./Al13Sc3N16/2/xtal_26.cif,11.576357,41.102345
xtal_27.cif,./Al13Sc3N16/2/xtal_27.cif,-45.270927,-51.678825
xtal_28.cif,./Al13Sc3N16/2/xtal_28.cif,22.615597,64.58608
xtal_29.cif,./Al13Sc3N16/__initial__/2/xtal_29.cif,-48.12751,10.754352
xtal_3.cif,./Al13Sc3N16/2/xtal_3.cif,15.036589,-10.133714
xtal_30.cif,./Al13Sc3N16/2/xtal_30.cif,-78.448105,19.40584
xtal_31.cif,./Al13Sc3N16/__initial__/2/xtal_31.cif,3.789715,82.79356
xtal_32.cif,./Al13Sc3N16/2/xtal_32.cif,-7.0467114,-21.707773
xtal_33.cif,./Al13Sc3N16/__initial__/2/xtal_33.cif,1.0845174,23.047623
xtal_34.cif,./Al13Sc3N16/2/xtal_34.cif,-2.3227255,-0.7548185
xtal_35.cif,./Al13Sc3N16/__initial__/2/xtal_35.cif,48.31387,37.932186
xtal_36.cif,./Al13Sc3N16/2/xtal_36.cif,28.855438,35.790073
xtal_37.cif,./Al13Sc3N16/__initial__/2/xtal_37.cif,-33.098003,5.9354134
xtal_38.cif,./Al13Sc3N16/2/xtal_38.cif,-29.977299,-50.92728
xtal_39.cif,./Al13Sc3N16/2/xtal_39.cif,26.870293,46.43575
xtal_4.cif,./Al13Sc3N16/2/xtal_4.cif,61.251102,58.15514
xtal_40.cif,./Al13Sc3N16/2/xtal_40.cif,-35.591927,-36.46236
xtal_41.cif,./Al13Sc3N16/__initial__/2/xtal_41.cif,-34.247604,10.880263
xtal_42.cif,./Al13Sc3N16/__initial__/2/xtal_42.cif,-47.95882,-23.205076
xtal_43.cif,./Al13Sc3N16/2/xtal_43.cif,2.8418941,-18.453854
xtal_44.cif,./Al13Sc3N16/__initial__/2/xtal_44.cif,-58.70575,48.97826
xtal_45.cif,./Al13Sc3N16/__initial__/2/xtal_45.cif,-87.38209,-21.167982
xtal_46.cif,./Al13Sc3N16/2/xtal_46.cif,14.880157,51.673798
xtal_47.cif,./Al13Sc3N16/2/xtal_47.cif,27.092648,43.107807
xtal_48.cif,./Al13Sc3N16/__initial__/2/xtal_48.cif,-88.39805,-31.985062
xtal_49.cif,./Al13Sc3N16/__initial__/2/xtal_49.cif,-103.05127,-0.12912916
xtal_5.cif,./Al13Sc3N16/2/xtal_5.cif,8.638216,6.7476583
xtal_50.cif,./Al13Sc3N16/2/xtal_50.cif,-27.456894,-56.229805
xtal_51.cif,./Al13Sc3N16/__initial__/2/xtal_51.cif,14.744211,31.64956
xtal_52.cif,./Al13Sc3N16/__initial__/2/xtal_52.cif,-55.838387,-30.879911
xtal_53.cif,./Al13Sc3N16/2/xtal_53.cif,48.363224,53.69503
xtal_54.cif,./Al13Sc3N16/__initial__/2/xtal_54.cif,6.806764,27.817957
xtal_55.cif,./Al13Sc3N16/__initial__/2/xtal_55.cif,-13.767037,40.954525
xtal_56.cif,./Al13Sc3N16/2/xtal_56.cif,-32.836605,-30.39694
xtal_57.cif,./Al13Sc3N16/__initial__/2/xtal_57.cif,5.5671635,-8.724664
xtal_58.cif,./Al13Sc3N16/__initial__/2/xtal_58.cif,-31.162567,-37.929947
xtal_59.cif,./Al13Sc3N16/__initial__/2/xtal_59.cif,-38.264492,-63.52691
xtal_6.cif,./Al13Sc3N16/__initial__/2/xtal_6.cif,-31.510061,-33.718235
xtal_60.cif,./Al13Sc3N16/2/xtal_60.cif,-10.444306,3.200082
xtal_61.cif,./Al13Sc3N16/__initial__/2/xtal_61.cif,-31.022234,-29.035091
xtal_62.cif,./Al13Sc3N16/__initial__/2/xtal_62.cif,28.322407,51.917423
xtal_63.cif,./Al13Sc3N16/__initial__/2/xtal_63.cif,44.471252,72.42946
xtal_64.cif,./Al13Sc3N16/__initial__/2/xtal_64.cif,-18.785385,2.3379428
xtal_65.cif,./Al13Sc3N16/2/xtal_65.cif,33.99417,41.94213
xtal_66.cif,./Al13Sc3N16/__initial__/2/xtal_66.cif,-29.29237,-51.573433
xtal_67.cif,./Al13Sc3N16/__initial__/2/xtal_67.cif,-66.78294,25.82185
xtal_68.cif,./Al13Sc3N16/2/xtal_68.cif,-62.52841,-42.159016
xtal_69.cif,./Al13Sc3N16/__initial__/2/xtal_69.cif,55.511826,72.483574
xtal_7.cif,./Al13Sc3N16/__initial__/2/xtal_7.cif,-80.53561,5.160045
xtal_70.cif,./Al13Sc3N16/2/xtal_70.cif,29.439,40.956406
xtal_71.cif,./Al13Sc3N16/2/xtal_71.cif,55.54047,67.41263
xtal_72.cif,./Al13Sc3N16/2/xtal_72.cif,13.878326,33.48165
xtal_73.cif,./Al13Sc3N16/__initial__/2/xtal_73.cif,43.20133,28.460741
xtal_74.cif,./Al13Sc3N16/2/xtal_74.cif,0.828123,20.965536
xtal_75.cif,./Al13Sc3N16/__initial__/2/xtal_75.cif,45.010406,31.635174
xtal_76.cif,./Al13Sc3N16/2/xtal_76.cif,-23.8209,-44.700554
xtal_77.cif,./Al13Sc3N16/2/xtal_77.cif,69.33157,62.17897
xtal_78.cif,./Al13Sc3N16/__initial__/2/xtal_78.cif,0.42654723,69.87502
xtal_79.cif,./Al13Sc3N16/__initial__/2/xtal_79.cif,-7.8498774,31.05695
xtal_8.cif,./Al13Sc3N16/__initial__/2/xtal_8.cif,-34.156242,-22.647104
xtal_80.cif,./Al13Sc3N16/__initial__/2/xtal_80.cif,-30.534584,-42.072983
xtal_81.cif,./Al13Sc3N16/__initial__/2/xtal_81.cif,32.553562,19.355707
xtal_82.cif,./Al13Sc3N16/2/xtal_82.cif,12.839987,0.8956839
xtal_83.cif,./Al13Sc3N16/__initial__/2/xtal_83.cif,26.658134,37.1076
xtal_84.cif,./Al13Sc3N16/__initial__/2/xtal_84.cif,-46.688766,-33.68871
xtal_85.cif,./Al13Sc3N16/__initial__/2/xtal_85.cif,11.169236,45.216846
xtal_86.cif,./Al13Sc3N16/2/xtal_86.cif,1.3302343,8.649988
xtal_87.cif,./Al13Sc3N16/__initial__/2/xtal_87.cif,-10.906334,-30.853651
xtal_88.cif,./Al13Sc3N16/2/xtal_88.cif,-50.24969,-45.2663
xtal_89.cif,./Al13Sc3N16/2/xtal_89.cif,-8.304493,-24.387365
xtal_9.cif,./Al13Sc3N16/2/xtal_9.cif,4.754191,0.29075912
xtal_90.cif,./Al13Sc3N16/__initial__/2/xtal_90.cif,-43.98171,-44.590504
xtal_91.cif,./Al13Sc3N16/2/xtal_91.cif,0.06428612,-12.125503
xtal_92.cif,./Al13Sc3N16/2/xtal_92.cif,29.642477,39.790848
xtal_93.cif,./Al13Sc3N16/2/xtal_93.cif,-8.133769,26.079987
xtal_94.cif,./Al13Sc3N16/2/xtal_94.cif,4.1864467,2.3978612
xtal_95.cif,./Al13Sc3N16/2/xtal_95.cif,39.9464,9.549009
xtal_96.cif,./Al13Sc3N16/2/xtal_96.cif,-10.090599,-28.250608
xtal_97.cif,./Al13Sc3N16/__initial__/2/xtal_97.cif,54.333565,73.428215
xtal_98.cif,./Al13Sc3N16/__initial__/2/xtal_98.cif,42.781506,32.896503
xtal_99.cif,./Al13Sc3N16/2/xtal_99.cif,-10.57025,-31.56829
xtal_1.cif,./Al13Sc3N16/3/xtal_1.cif,-46.901337,-59.178627
xtal_10.cif,./Al13Sc3N16/__initial__/3/xtal_10.cif,51.113102,-14.137502
xtal_100.cif,./Al13Sc3N16/__initial__/3/xtal_100.cif,57.741543,-82.78009
xtal_11.cif,./Al13Sc3N16/3/xtal_11.cif,11.463348,-60.41408
xtal_12.cif,./Al13Sc3N16/3/xtal_12.cif,44.710464,-14.081926
xtal_13.cif,./Al13Sc3N16/__initial__/3/xtal_13.cif,61.32503,-44.604046
xtal_14.cif,./Al13Sc3N16/__initial__/3/xtal_14.cif,81.37604,-54.238655
xtal_15.cif,./Al13Sc3N16/3/xtal_15.cif,93.085655,-17.696798
xtal_16.cif,./Al13Sc3N16/__initial__/3/xtal_16.cif,37.529324,-78.38192
xtal_17.cif,./Al13Sc3N16/__initial__/3/xtal_17.cif,-39.921238,-45.14873
xtal_18.cif,./Al13Sc3N16/3/xtal_18.cif,77.23297,13.072475
xtal_19.cif,./Al13Sc3N16/3/xtal_19.cif,63.46994,-19.872198
xtal_2.cif,./Al13Sc3N16/__initial__/3/xtal_2.cif,83.45783,-34.533867
xtal_20.cif,./Al13Sc3N16/3/xtal_20.cif,-72.93866,-34.06649
xtal_21.cif,./Al13Sc3N16/__initial__/3/xtal_21.cif,8.921112,-57.068867
xtal_22.cif,./Al13Sc3N16/3/xtal_22.cif,44.804863,64.20498
xtal_23.cif,./Al13Sc3N16/__initial__/3/xtal_23.cif,-85.64237,-15.05407
xtal_24.cif,./Al13Sc3N16/3/xtal_24.cif,74.45351,13.12146
xtal_25.cif,./Al13Sc3N16/__initial__/3/xtal_25.cif,17.632132,24.653648
xtal_26.cif,./Al13Sc3N16/__initial__/3/xtal_26.cif,-57.27803,-61.152344
xtal_27.cif,./Al13Sc3N16/__initial__/3/xtal_27.cif,7.3158503,-57.426228
xtal_28.cif,./Al13Sc3N16/3/xtal_28.cif,79.78505,12.442349
xtal_29.cif,./Al13Sc3N16/3/xtal_29.cif,26.10243,82.68955
xtal_3.cif,./Al13Sc3N16/3/xtal_3.cif,67.15671,22.303354
xtal_30.cif,./Al13Sc3N16/__initial__/3/xtal_30.cif,83.61438,46.9372
xtal_31.cif,./Al13Sc3N16/3/xtal_31.cif,53.00955,24.584507
xtal_32.cif,./Al13Sc3N16/__initial__/3/xtal_32.cif,31.406668,43.57201
xtal_33.cif,./Al13Sc3N16/__initial__/3/xtal_33.cif,-53.868782,60.91327
xtal_34.cif,./Al13Sc3N16/3/xtal_34.cif,-45.908287,14.114463
xtal_35.cif,./Al13Sc3N16/3/xtal_35.cif,59.519043,16.806873
xtal_36.cif,./Al13Sc3N16/__initial__/3/xtal_36.cif,68.86616,42.315056
xtal_37.cif,./Al13Sc3N16/3/xtal_37.cif,84.430695,32.633804
xtal_38.cif,./Al13Sc3N16/__initial__/3/xtal_38.cif,-66.790985,-12.834609
xtal_39.cif,./Al13Sc3N16/3/xtal_39.cif,87.91094,18.258247
xtal_4.cif,./Al13Sc3N16/3/xtal_4.cif,96.599075,-11.054313
xtal_40.cif,./Al13Sc3N16/3/xtal_40.cif,50.613678,-45.611855
xtal_41.cif,./Al13Sc3N16/__initial__/3/xtal_41.cif,43.66975,-45.48367
xtal_42.cif,./Al13Sc3N16/__initial__/3/xtal_42.cif,26.273453,-68.53742
xtal_43.cif,./Al13Sc3N16/3/xtal_43.cif,78.76347,-52.05204
xtal_44.cif,./Al13Sc3N16/3/xtal_44.cif,4.6909227,0.19614518
xtal_45.cif,./Al13Sc3N16/__initial__/3/xtal_45.cif,-45.94682,-45.597004
xtal_46.cif,./Al13Sc3N16/__initial__/3/xtal_46.cif,70.08212,-32.192833
xtal_47.cif,./Al13Sc3N16/3/xtal_47.cif,67.41079,8.991878
xtal_48.cif,./Al13Sc3N16/__initial__/3/xtal_48.cif,37.24983,-6.9558463
xtal_49.cif,./Al13Sc3N16/__initial__/3/xtal_49.cif,41.032673,-65.70903
xtal_5.cif,./Al13Sc3N16/__initial__/3/xtal_5.cif,-93.42886,-34.22925
xtal_50.cif,./Al13Sc3N16/__initial__/3/xtal_50.cif,68.9374,-52.334343
xtal_51.cif,./Al13Sc3N16/__initial__/3/xtal_51.cif,70.488106,7.32386
xtal_52.cif,./Al13Sc3N16/__initial__/3/xtal_52.cif,98.96483,-14.730972
xtal_53.cif,./Al13Sc3N16/3/xtal_53.cif,-72.89174,-49.17531
xtal_54.cif,./Al13Sc3N16/3/xtal_54.cif,50.879894,-10.993084
