Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Final_Pressure_GPa,Enthalpy_per_Atom_eV,Corrected_Enthalpy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
Th2H20,xtal_1,-61.32722473144531,-2.787601124156605,150.03404235839844,0.16512215704931713,0.16445219133613512,db://159/xtal_1.cif,159
Th2H20,xtal_56,-61.27509689331055,-2.785231676968661,149.97179667154947,0.16522580089839325,0.16578065669911324,db://173/xtal_56.cif,173
Th2H20,xtal_186,-61.53239822387695,-2.7969271919944068,149.99467976888022,0.1666761011393221,0.1667812185640942,db://30/xtal_186.cif,30
Th2H20,xtal_2,-61.58481216430664,-2.79930964383212,148.69854227701822,0.14207723488422178,0.16782120393034133,db://77/xtal_2.cif,77
Th2H20,xtal_86,-61.50939178466797,-2.795881444757635,148.88338216145834,0.14703241431422434,0.1691041194610583,db://107/xtal_86.cif,107
Th2H20,xtal_183,-61.27811813354492,-2.7853690060702236,150.85962422688803,0.18705090297728913,0.1701135403171603,db://89/xtal_183.cif,89
Th2H20,xtal_187,-61.49889373779297,-2.7954042608087715,148.20419311523438,0.1370725045886574,0.1726056555341323,db://87/xtal_187.cif,87
Th2H20,xtal_20,-61.18484878540039,-2.781129490245472,150.68984985351562,0.18888034733546535,0.17528380547556666,db://192/xtal_20.cif,192
Th2H20,xtal_29,-60.70667266845703,-2.7593942122025923,152.88031005859375,0.24022924950486219,0.18371546021807678,db://134/xtal_29.cif,134
Th2H20,xtal_90,-60.74399948120117,-2.761090885509144,151.31791178385416,0.21385618534891584,0.1879457180763653,db://113/xtal_90.cif,113
Th1H10,xtal_58,-30.584379196166992,-2.7803981087424536,146.61599731445312,0.13086935720399528,0.19806350452462235,db://99/xtal_58.cif,99
Th2H20,xtal_46,-60.846553802490234,-2.765752445567738,147.64019266764322,0.15264064110884848,0.19928678319389648,db://103/xtal_46.cif,103
Th2H20,xtal_65,-60.38463592529297,-2.7447561784224077,150.4546356201172,0.20926615544259486,0.2003398517095036,db://194/xtal_65.cif,194
Th2H20,xtal_69,-60.42546844482422,-2.7466122020374644,149.7969970703125,0.19911061501612567,0.20310262002026142,db://164/xtal_69.cif,164
Th2H20,xtal_192,-60.6550178527832,-2.7570462660356,149.6798095703125,0.19782296454015835,0.20414392961436886,db://11/xtal_192.cif,11
Th2H20,xtal_6,-60.58009719848633,-2.7536407817493784,149.84025065104166,0.20240277657811265,0.20555430650337334,db://186/xtal_6.cif,186
Th2H20,xtal_78,-60.67847442626953,-2.7581124739213423,146.9265594482422,0.14722331171649375,0.20799773435039487,db://134/xtal_78.cif,134
Th2H20,xtal_108,-60.30650329589844,-2.741204695268111,150.53134155273438,0.21958776622531995,0.20913683921180476,db://126/xtal_108.cif,126
Th2H20,xtal_101,-60.42231750488281,-2.7464689774946733,149.90008036295572,0.20981624453578782,0.21178683017970087,db://188/xtal_101.cif,188
Th2H20,xtal_34,-60.170249938964844,-2.7350113608620386,150.115966796875,0.21542589794898379,0.21314664168074188,db://173/xtal_34.cif,173
Th2H20,xtal_179,-60.113216400146484,-2.7324189272793857,150.10557556152344,0.21649596328594098,0.21442186747509845,db://175/xtal_179.cif,175
Th2H20,xtal_117,-60.42612838745117,-2.7466421994295986,149.62240091959634,0.2080654946252768,0.2155222317266703,db://75/xtal_117.cif,75
Th2H20,xtal_84,-59.98910903930664,-2.726777683604847,150.8691202799479,0.23399915304992322,0.21694283835569161,db://38/xtal_84.cif,38
Th2H20,xtal_111,-60.32844543457031,-2.7422020652077417,150.0426788330078,0.21894979335849094,0.21810750963851566,db://137/xtal_111.cif,137
Th2H20,xtal_49,-60.01002883911133,-2.7277285835959693,150.2708740234375,0.22466631051110655,0.2193444070554949,db://124/xtal_49.cif,124
Th2H20,xtal_89,-60.433197021484375,-2.7469635009765625,149.18972778320312,0.20447449317004382,0.22050420407434204,db://129/xtal_89.cif,129
Th2H20,xtal_182,-60.30694580078125,-2.7412248091264204,150.06837463378906,0.2234711610137035,0.22212037673454468,db://185/xtal_182.cif,185
Th2H20,xtal_172,-59.95761489868164,-2.7253461317582564,150.27997843424478,0.22870401662639173,0.22320048685587618,db://3/xtal_172.cif,3
Th2H20,xtal_58,-60.08556365966797,-2.7311619845303623,149.68145751953125,0.21793194781208183,0.22420802042596003,db://185/xtal_58.cif,185
Th2H20,xtal_102,-59.94293975830078,-2.7246790799227627,149.99539693196616,0.22643761376399077,0.22652817781591975,db://124/xtal_102.cif,124
Th2H20,xtal_87,-59.87928771972656,-2.7217858054421167,150.11750284830728,0.2299440556289192,0.2276336210724639,db://191/xtal_87.cif,191
Th2H20,xtal_119,-60.393070220947266,-2.745139555497603,150.01143391927084,0.22935285123303376,0.22912613447443925,db://136/xtal_119.cif,136
Th2H20,xtal_102,-60.450111389160156,-2.747732335870916,149.88147481282553,0.228186920177371,0.2305402556197912,db://50/xtal_102.cif,50
Th2H20,xtal_101,-60.16889572143555,-2.7349498055197974,149.9656016031901,0.23099288491603495,0.231673198751277,db://158/xtal_101.cif,158
Th2H20,xtal_130,-59.959449768066406,-2.7254295349121094,151.6287078857422,0.2649110506059664,0.23279054149790082,db://118/xtal_130.cif,118
Th2H20,xtal_38,-59.71591567993164,-2.7143598036332564,150.0409952799479,0.23578240451331697,0.2349763454393722,db://143/xtal_38.cif,143
Th2H20,xtal_81,-60.34157180786133,-2.7427987185391514,149.13680521647134,0.21902818094877252,0.23617105540985467,db://139/xtal_81.cif,139
Th2H20,xtal_108,-58.688140869140625,-2.667642766779119,150.17849731445312,0.2406985165756339,0.2372417560015486,db://182/xtal_108.cif,182
Th2H20,xtal_166,-60.17983627319336,-2.7354471033269707,149.81921895345053,0.23489615401534988,0.2384803521337525,db://207/xtal_166.cif,207
Th2H20,xtal_106,-59.67131042480469,-2.7123322920365767,149.09732055664062,0.22245414281725057,0.24022221118697087,db://182/xtal_106.cif,182
Th2H20,xtal_163,-59.738956451416016,-2.7154071114280005,151.45145161946616,0.26988672930614466,0.24127683792918417,db://193/xtal_163.cif,193
Th2H20,xtal_55,-60.394710540771484,-2.745214115489613,150.06879170735678,0.24368692087062013,0.24231680518519083,db://55/xtal_55.cif,55
Th2H20,xtal_71,-60.211341857910156,-2.7368791753595527,150.09456380208334,0.24530719019034242,0.24342832879720522,db://47/xtal_71.cif,47
Th2H20,xtal_68,-59.82320022583008,-2.719236373901367,149.87249755859375,0.24193001736684555,0.24444919834032083,db://112/xtal_68.cif,112
Th2H20,xtal_187,-59.97057342529297,-2.725935155695135,149.92198689778647,0.24390653207111254,0.24545191289176346,db://34/xtal_187.cif,34
Th2H20,xtal_159,-60.098201751708984,-2.7317364432594995,149.83187357584634,0.24338391865795084,0.246722302781024,db://215/xtal_159.cif,215
Th2H20,xtal_196,-59.719276428222656,-2.7145125649192114,150.16829427083334,0.2510765357138444,0.24775298690678252,db://101/xtal_196.cif,101
Th2H20,xtal_181,-60.66362380981445,-2.7574374459006568,150.3688201904297,0.25622529930432913,0.24883347654366814,db://131/xtal_181.cif,131
Th2H20,xtal_64,-59.3975944519043,-2.6998906569047407,150.05793253580728,0.2510398710422295,0.24990061178691295,db://190/xtal_64.cif,190
Th2H20,xtal_18,-59.93681716918945,-2.7244007804177026,150.30171712239584,0.25719934000078903,0.25121404704678246,db://111/xtal_18.cif,111
Th2H20,xtal_171,-61.17806625366211,-2.780821193348278,149.91290283203125,0.25048386491397745,0.2522450080900242,db://150/xtal_171.cif,150
Th2H20,xtal_75,-59.23823165893555,-2.6926468935879795,149.77133178710938,0.2488789749100678,0.25337004443248545,db://11/xtal_75.cif,11
Th2H20,xtal_37,-60.75068283081055,-2.761394674127752,148.9033966064453,0.23237869878175843,0.254426429828104,db://28/xtal_37.cif,28
Th2H20,xtal_54,-60.99822998046875,-2.772646817294034,149.80994669596353,0.2524561718830114,0.2562939064982603,db://157/xtal_54.cif,157
Th2H20,xtal_33,-59.41183090209961,-2.700537768277255,149.6143544514974,0.25004986618777797,0.2576552927584425,db://173/xtal_33.cif,173
Th2H20,xtal_48,-59.3261833190918,-2.6966446963223545,149.1322987874349,0.2419198403103651,0.259017384117903,db://31/xtal_48.cif,31
Th2H20,xtal_65,-58.113948822021484,-2.6415431282737036,151.17213439941406,0.2827733809943683,0.26009928177029296,db://118/xtal_65.cif,118
Th2H20,xtal_9,-61.471370697021484,-2.7941532135009766,150.0306854248047,0.2620999464559727,0.26147485815314714,db://168/xtal_9.cif,168
Th2H20,xtal_139,-60.119197845458984,-2.7326908111572266,150.09129333496094,0.26433619336953157,0.2625132455880062,db://221/xtal_139.cif,221
Th2H20,xtal_149,-60.37331771850586,-2.744241714477539,148.5911661783854,0.2352661808974145,0.26351571687408654,db://163/xtal_149.cif,163
Th2H20,xtal_5,-60.95612335205078,-2.770732879638672,149.4217529296875,0.2529726704567927,0.2646741050976586,db://113/xtal_5.cif,113
Th2H20,xtal_105,-61.665828704833984,-2.8029922138560903,150.17868041992188,0.2693377667449029,0.2656823530101613,db://128/xtal_105.cif,128
Th2H20,xtal_54,-60.055946350097656,-2.7298157431862573,147.96538798014322,0.2261854858305412,0.2668322594670629,db://222/xtal_54.cif,222
Th2H20,xtal_195,-61.03672790527344,-2.7743967229669746,150.0906728108724,0.269945614629682,0.2681064658548904,db://147/xtal_195.cif,147
Th2H20,xtal_165,-59.920867919921875,-2.7236758145419033,149.7071329752604,0.26328652976404177,0.2691298236499159,db://93/xtal_165.cif,93
Th2H20,xtal_189,-59.72211837768555,-2.714641744440252,150.24585978190103,0.27503477711188784,0.2701425210549792,db://222/xtal_189.cif,222
Th2H20,xtal_166,-61.05841827392578,-2.775382648814808,150.00292460123697,0.2712750910875805,0.2712156905191021,db://75/xtal_166.cif,75
Th2H20,xtal_34,-59.545475006103516,-2.7066125002774326,149.93889363606772,0.27111389341050474,0.2723274413318673,db://197/xtal_34.cif,197
Th2H20,xtal_56,-59.53514862060547,-2.70614311911843,149.99169413248697,0.2732782610408881,0.273443248038283,db://211/xtal_56.cif,211
Th2H20,xtal_55,-58.62112045288086,-2.6645963842218574,150.56388346354166,0.2855645370465435,0.27451575881352924,db://83/xtal_55.cif,83
Th2H20,xtal_19,-60.99224853515625,-2.7723749334161933,150.1357218424479,0.2785603625751614,0.27580233434257445,db://119/xtal_19.cif,119
Th2H20,xtal_55,-60.5470085144043,-2.7521367506547407,149.61334737141928,0.26927220747754244,0.2770805730826445,db://222/xtal_55.cif,222
Th2H20,xtal_107,-59.66909408569336,-2.7122315493496982,149.7344004313151,0.27281852612972685,0.2781134216932474,db://224/xtal_107.cif,224
Th2H20,xtal_79,-59.82503890991211,-2.7193199504505503,150.2093302408854,0.2833747888143854,0.2791902630457951,db://87/xtal_79.cif,87
Th2H20,xtal_120,-58.958343505859375,-2.6799247048117896,150.1670379638672,0.28414020701611453,0.28084313613854256,db://217/xtal_120.cif,217
Th2H20,xtal_30,-59.81214141845703,-2.718733700838956,150.0118662516276,0.28224037924143824,0.2820029959300248,db://111/xtal_30.cif,111
Th2H20,xtal_22,-60.385986328125,-2.7448175603693183,151.0088094075521,0.30353212897934156,0.28316772867588724,db://119/xtal_22.cif,119
Th2H20,xtal_131,-60.05390167236328,-2.72972280328924,151.4267323811849,0.3131741616517671,0.28450419325040155,db://90/xtal_131.cif,90
Th2H20,xtal_11,-58.916969299316406,-2.6780440590598364,150.04166666666666,0.2863551393619168,0.2855319238111195,db://221/xtal_11.cif,221
Th2H20,xtal_70,-58.99943923950195,-2.6817926927046343,150.06460571289062,0.2878208516202127,0.2865423755989727,db://207/xtal_70.cif,207
Th2H20,xtal_111,-60.42654037475586,-2.746660926125266,148.90662638346353,0.2654960212354218,0.287613323971366,db://117/xtal_111.cif,117
Th2H20,xtal_10,-60.287349700927734,-2.740334077314897,150.03178914388022,0.28946661089264064,0.2888246484755062,db://81/xtal_10.cif,81
Th2H20,xtal_55,-58.93499755859375,-2.678863525390625,149.89778645833334,0.28788194130415495,0.2899049302257336,db://143/xtal_55.cif,143
Th2H20,xtal_74,-59.9045524597168,-2.7229342027144,149.79620361328125,0.28682572447048477,0.2909204757609426,db://137/xtal_74.cif,137
Th2H20,xtal_46,-60.30549240112305,-2.7411587455055932,150.1112263997396,0.29428070849606186,0.29203156957292065,db://14/xtal_46.cif,14
Th2H20,xtal_184,-59.245853424072266,-2.69299333745783,149.62308756510416,0.2857893217702461,0.29329311174936035,db://4/xtal_184.cif,4
Th2H20,xtal_118,-57.34918975830078,-2.6067813526500356,149.99830118815103,0.29432210271633674,0.29435495928128463,db://86/xtal_118.cif,86
Th2H20,xtal_29,-58.27007293701172,-2.648639678955078,151.7814483642578,0.33051917264402547,0.2955529912019516,db://132/xtal_29.cif,132
Th2H20,xtal_2,-59.714378356933594,-2.7142899253151636,149.68026733398438,0.29029273977704534,0.2967108417946661,db://112/xtal_2.cif,112
Th2H20,xtal_177,-59.66802215576172,-2.7121828252618965,150.45057678222656,0.3068937778977033,0.29785209889426423,db://125/xtal_177.cif,125
Th2H20,xtal_14,-58.80741882324219,-2.673064491965554,149.41031392415366,0.28733341931290113,0.29901738798545,db://118/xtal_14.cif,118
Th2H20,xtal_24,-58.73291015625,-2.669677734375,150.25177001953125,0.30539973679880267,0.30041453554009506,db://117/xtal_24.cif,117
Th2H20,xtal_128,-58.28999328613281,-2.6495451493696733,150.31058756510416,0.30909682779172437,0.30298337016650223,db://192/xtal_128.cif,192
Th2H20,xtal_31,-58.74150848388672,-2.6700685674493965,149.9939982096354,0.30389209026339226,0.3040110889475609,db://143/xtal_31.cif,143
