CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path
xtal_33,-125.64068603515625,-7.852542877197266,U3Si5/0_cif/refined/xtal_33_relaxed.cif
xtal_43,-125.64070129394531,-7.852543830871582,U3Si5/0_cif/refined/xtal_43_relaxed.cif
xtal_59,-63.253753662109375,-7.906719207763672,U3Si5/0_cif/refined/xtal_59_relaxed.cif
xtal_92,-125.89816284179688,-7.868635177612305,U3Si5/0_cif/refined/xtal_92_relaxed.cif
xtal_42,-125.65935516357422,-7.853709697723389,U3Si5/0_cif/refined/xtal_42_relaxed.cif
xtal_83,-123.87466430664062,-7.742166519165039,U3Si5/0_cif/refined/xtal_83_relaxed.cif
xtal_74,-125.64068603515625,-7.852542877197266,U3Si5/0_cif/refined/xtal_74_relaxed.cif
xtal_79,-124.81199645996094,-7.800749778747559,U3Si5/0_cif/refined/xtal_79_relaxed.cif
xtal_57,-124.7217025756836,-7.795106410980225,U3Si5/0_cif/refined/xtal_57_relaxed.cif
xtal_24,-122.96995544433594,-7.685622215270996,U3Si5/0_cif/refined/xtal_24_relaxed.cif
xtal_19,-188.60633850097656,-7.85859743754069,U3Si5/0_cif/refined/xtal_19_relaxed.cif
xtal_17,-123.6192855834961,-7.726205348968506,U3Si5/0_cif/refined/xtal_17_relaxed.cif
xtal_76,-187.14430236816406,-7.797679265340169,U3Si5/0_cif/refined/xtal_76_relaxed.cif
xtal_41,-124.37560272216797,-7.773475170135498,U3Si5/0_cif/refined/xtal_41_relaxed.cif
xtal_74_1,-187.14437866210938,-7.797682444254558,U3Si5/0_cif/refined/xtal_74_1_relaxed.cif
xtal_17_1,-184.25445556640625,-7.677268981933594,U3Si5/0_cif/refined/xtal_17_1_relaxed.cif
xtal_31,-123.97157287597656,-7.748223304748535,U3Si5/0_cif/refined/xtal_31_relaxed.cif
xtal_1_1,-124.22636413574219,-7.764147758483887,U3Si5/0_cif/refined/xtal_1_1_relaxed.cif
xtal_83_1,-124.32089233398438,-7.770055770874023,U3Si5/0_cif/refined/xtal_83_1_relaxed.cif
xtal_20,-124.80583953857422,-7.800364971160889,U3Si5/0_cif/refined/xtal_20_relaxed.cif
xtal_77,-123.99901580810547,-7.749938488006592,U3Si5/0_cif/refined/xtal_77_relaxed.cif
xtal_93,-127.63517761230469,-7.977198600769043,U3Si5/0_cif/refined/xtal_93_relaxed.cif
xtal_34,-187.57981872558594,-7.815825780232747,U3Si5/0_cif/refined/xtal_34_relaxed.cif
xtal_73,-62.47427749633789,-7.809284687042236,U3Si5/0_cif/refined/xtal_73_relaxed.cif
xtal_96,-125.83485412597656,-7.864678382873535,U3Si5/0_cif/refined/xtal_96_relaxed.cif
xtal_69,-125.57441711425781,-7.848401069641113,U3Si5/0_cif/refined/xtal_69_relaxed.cif
xtal_4_1,-123.99830627441406,-7.749894142150879,U3Si5/0_cif/refined/xtal_4_1_relaxed.cif
xtal_85,-185.9952392578125,-7.7498016357421875,U3Si5/0_cif/refined/xtal_85_relaxed.cif
xtal_57_1,-125.74284362792969,-7.8589277267456055,U3Si5/0_cif/refined/xtal_57_1_relaxed.cif
xtal_4,-124.73114013671875,-7.795696258544922,U3Si5/0_cif/refined/xtal_4_relaxed.cif
xtal_75,-124.71995544433594,-7.794997215270996,U3Si5/0_cif/refined/xtal_75_relaxed.cif
xtal_55,-123.9009017944336,-7.7438063621521,U3Si5/0_cif/refined/xtal_55_relaxed.cif
xtal_100,-124.73703002929688,-7.796064376831055,U3Si5/0_cif/refined/xtal_100_relaxed.cif
xtal_36,-125.52587127685547,-7.845366954803467,U3Si5/0_cif/refined/xtal_36_relaxed.cif
xtal_96_2,-123.48479461669922,-7.717799663543701,U3Si5/0_cif/refined/xtal_96_2_relaxed.cif
xtal_8,-126.50749206542969,-7.9067182540893555,U3Si5/0_cif/refined/xtal_8_relaxed.cif
xtal_19_1,-124.72562408447266,-7.795351505279541,U3Si5/0_cif/refined/xtal_19_1_relaxed.cif
xtal_86,-124.74138641357422,-7.796336650848389,U3Si5/0_cif/refined/xtal_86_relaxed.cif
xtal_39,-125.62279510498047,-7.851424694061279,U3Si5/0_cif/refined/xtal_39_relaxed.cif
xtal_6,-126.50748443603516,-7.906717777252197,U3Si5/0_cif/refined/xtal_6_relaxed.cif
xtal_1,-125.846435546875,-7.8654022216796875,U3Si5/0_cif/refined/xtal_1_relaxed.cif
xtal_37_1,-124.18232727050781,-7.761395454406738,U3Si5/0_cif/refined/xtal_37_1_relaxed.cif
xtal_97,-125.3794174194336,-7.8362135887146,U3Si5/0_cif/refined/xtal_97_relaxed.cif
xtal_22,-124.83946228027344,-7.80246639251709,U3Si5/0_cif/refined/xtal_22_relaxed.cif
xtal_50,-123.35746002197266,-7.709841251373291,U3Si5/0_cif/refined/xtal_50_relaxed.cif
xtal_38,-125.83192443847656,-7.864495277404785,U3Si5/0_cif/refined/xtal_38_relaxed.cif
xtal_96_1,-125.846435546875,-7.8654022216796875,U3Si5/0_cif/refined/xtal_96_1_relaxed.cif
xtal_37,-185.45220947265625,-7.727175394694011,U3Si5/0_cif/refined/xtal_37_relaxed.cif
xtal_88,-125.92962646484375,-7.870601654052734,U3Si5/0_cif/refined/xtal_88_relaxed.cif
xtal_82,-123.52964782714844,-7.720602989196777,U3Si5/0_cif/refined/xtal_82_relaxed.cif
