Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori,formation_energy_per_atom,e_above_hull
U6Si10,xtal_92,-125.79580688476562,-7.862237930297852,db://159/xtal_92.cif,159,-0.2349848109228514,0.06351076782714937
U6Si10,xtal_88,-125.13095092773438,-7.820684432983398,db://188/xtal_88.cif,188,-0.19343131360839827,0.1050642651416025
U6Si10,xtal_43,-124.85176849365234,-7.803235530853271,db://79/xtal_43.cif,79,-0.17598241147827132,0.12251316727172945
U6Si10,xtal_33,-124.83157348632812,-7.801973342895508,db://107/xtal_33.cif,107,-0.17472022352050764,0.12377535522949312
U9Si15,xtal_34,-187.1533966064453,-7.798058191935222,db://146/xtal_34.cif,146,-0.1708050725602206,0.12769050618977928
U6Si10,xtal_42,-124.58555603027344,-7.78659725189209,db://85/xtal_42.cif,85,-0.15934413251708968,0.1391514462329111
U6Si10,xtal_96,-124.52381896972656,-7.78273868560791,db://18/xtal_96.cif,18,-0.15548556623291,0.14301001251709078
U6Si10,xtal_100,-124.41381072998048,-7.775863170623779,db://193/xtal_100.cif,193,-0.14861005124878002,0.14988552750122075
U6Si10,xtal_22,-124.35047912597656,-7.771904945373535,db://173/xtal_22.cif,173,-0.144651825998535,0.15384375275146578
U6Si10,xtal_79,-124.27955627441406,-7.767472267150879,db://105/xtal_79.cif,105,-0.14021914777587874,0.15827643097412203
U6Si10,xtal_6,-124.1604995727539,-7.760031223297119,db://158/xtal_6.cif,158,-0.13277810392211897,0.1657174748278818
U9Si15,xtal_19,-186.1396942138672,-7.755820592244466,db://152/xtal_19.cif,152,-0.12856747286946538,0.16992810588053509
U6Si10,xtal_41,-124.04022979736328,-7.752514362335205,db://8/xtal_41.cif,8,-0.1252612429602049,0.17323433578979586
U6Si10,xtal_36,-123.96712493896484,-7.747945308685303,db://82/xtal_36.cif,82,-0.12069218931030257,0.1778033894396982
U9Si15,xtal_85,-185.9076995849609,-7.746154149373372,db://144/xtal_85.cif,144,-0.11890102999837045,0.17959454875162972
U6Si10,xtal_77,-123.84210205078124,-7.740131378173828,db://99/xtal_77.cif,99,-0.11287825879882707,0.1856173199511737
U9Si15,xtal_76,-185.72520446777344,-7.738550186157227,db://146/xtal_76.cif,146,-0.1112970667822258,0.18719851196777437
U6Si10,xtal_74,-123.79452514648438,-7.737157821655273,db://104/xtal_74.cif,104,-0.10990470228027327,0.1885908764697275
U6Si10,xtal_55,-123.74943542480467,-7.734339714050293,db://149/xtal_55.cif,149,-0.10708659467529191,0.19140898407470885
U6Si10,xtal_93,-123.73168182373048,-7.733230113983154,db://50/xtal_93.cif,50,-0.10597699460815502,0.19251858414184575
U6Si10,xtal_83,-123.68585968017578,-7.730366230010986,db://117/xtal_83.cif,117,-0.10311311063598616,0.1953824681140146
U6Si10,xtal_8,-123.65721130371094,-7.728575706481934,db://31/xtal_8.cif,31,-0.10132258710693343,0.19717299164306734
U6Si10,xtal_96,-123.62191009521484,-7.726369380950928,db://79/xtal_96.cif,79,-0.09911626157592757,0.1993793171740732
U6Si10,xtal_57,-123.60230255126952,-7.725143909454346,db://7/xtal_57.cif,7,-0.09789079007934465,0.20060478867065612
U6Si10,xtal_69,-123.57816314697266,-7.723635196685791,db://90/xtal_69.cif,90,-0.09638207731079085,0.20211350143920992
U6Si10,xtal_57,-123.52429962158205,-7.720268726348877,db://176/xtal_57.cif,176,-0.09301560697387767,0.2054799717761231
U6Si10,xtal_4,-123.4939193725586,-7.718369960784912,db://186/xtal_4.cif,186,-0.09111684140991194,0.20737873734008883
U6Si10,xtal_86,-123.4365692138672,-7.714785575866699,db://58/xtal_86.cif,58,-0.08753245649169994,0.21096312225830083
U6Si10,xtal_20,-123.41188049316406,-7.713242530822754,db://58/xtal_20.cif,58,-0.08598941144775374,0.21250616730224703
U6Si10,xtal_31,-123.39539337158205,-7.712212085723877,db://82/xtal_31.cif,82,-0.08495896634887767,0.2135366124011231
U6Si10,xtal_4,-123.34628295898438,-7.709142684936523,db://188/xtal_4.cif,188,-0.08188956556152327,0.2166060131884775
U6Si10,xtal_96,-123.29212951660156,-7.705758094787598,db://131/xtal_96.cif,131,-0.07850497541259749,0.21999060333740328
U6Si10,xtal_38,-123.24560546875,-7.702850341796875,db://23/xtal_38.cif,23,-0.07559722242187483,0.22289835632812594
U6Si10,xtal_97,-123.21766662597656,-7.701104164123535,db://50/xtal_97.cif,50,-0.07385104474853499,0.22464453400146578
U9Si15,xtal_37,-184.8009033203125,-7.700037638346354,db://143/xtal_37.cif,143,-0.0727845189713534,0.22571105977864647
U6Si10,xtal_37,-123.16947174072266,-7.698091983795166,db://176/xtal_37.cif,176,-0.07083886442016585,0.22765671432983492
U6Si10,xtal_1,-123.09356689453124,-7.693347930908203,db://113/xtal_1.cif,113,-0.06609481153320207,0.2324007672167987
U9Si15,xtal_74,-184.60870361328125,-7.692029317220052,db://146/xtal_74.cif,146,-0.06477619784505133,0.23371938090494915
U6Si10,xtal_1,-123.04954528808594,-7.690596580505371,db://31/xtal_1.cif,31,-0.06334346113037093,0.23515211761962984
U6Si10,xtal_19,-123.03028106689452,-7.689392566680908,db://13/xtal_19.cif,13,-0.06213944730590715,0.23635613144409362
U6Si10,xtal_83,-123.00413513183594,-7.687758445739746,db://7/xtal_83.cif,7,-0.060505326364745926,0.23799025238525484
U6Si10,xtal_82,-122.97046661376952,-7.685654163360596,db://94/xtal_82.cif,94,-0.05840104398559465,0.24009453476440612
U3Si5,xtal_73,-61.4708137512207,-7.683851718902588,db://10/xtal_73.cif,10,-0.05659859952758772,0.24189697922241304
U6Si10,xtal_50,-122.90697479248048,-7.681685924530029,db://11/xtal_50.cif,11,-0.05443280515503002,0.24406277359497075
U6Si10,xtal_75,-122.87935638427734,-7.679959774017334,db://18/xtal_75.cif,18,-0.05270665464233382,0.24578892410766695
U6Si10,xtal_39,-122.85748291015624,-7.678592681884766,db://103/xtal_39.cif,103,-0.05133956250976457,0.2471560162402362
U6Si10,xtal_17,-122.82693481445312,-7.67668342590332,db://4/xtal_17.cif,4,-0.049430306528320145,0.24906527222168062
