Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
U6Si10,xtal_92,-125.79580688476562,-7.862237930297852,db://159/xtal_92.cif,159
U6Si10,xtal_88,-125.13095092773438,-7.820684432983398,db://188/xtal_88.cif,188
U6Si10,xtal_43,-124.85176849365234,-7.8032355308532715,db://79/xtal_43.cif,79
U6Si10,xtal_33,-124.83157348632812,-7.801973342895508,db://107/xtal_33.cif,107
U9Si15,xtal_34,-187.1533966064453,-7.798058191935222,db://146/xtal_34.cif,146
U6Si10,xtal_42,-124.58555603027344,-7.78659725189209,db://85/xtal_42.cif,85
U6Si10,xtal_96,-124.52381896972656,-7.78273868560791,db://18/xtal_96.cif,18
U6Si10,xtal_100,-124.41381072998047,-7.775863170623779,db://193/xtal_100.cif,193
U6Si10,xtal_22,-124.35047912597656,-7.771904945373535,db://173/xtal_22.cif,173
U6Si10,xtal_79,-124.27955627441406,-7.767472267150879,db://105/xtal_79.cif,105
U6Si10,xtal_6,-124.1604995727539,-7.760031223297119,db://158/xtal_6.cif,158
U9Si15,xtal_19,-186.1396942138672,-7.755820592244466,db://152/xtal_19.cif,152
U6Si10,xtal_41,-124.04022979736328,-7.752514362335205,db://8/xtal_41.cif,8
U6Si10,xtal_36,-123.96712493896484,-7.747945308685303,db://82/xtal_36.cif,82
U9Si15,xtal_85,-185.90769958496094,-7.746154149373372,db://144/xtal_85.cif,144
U6Si10,xtal_77,-123.84210205078125,-7.740131378173828,db://99/xtal_77.cif,99
U9Si15,xtal_76,-185.72520446777344,-7.738550186157227,db://146/xtal_76.cif,146
U6Si10,xtal_74,-123.79452514648438,-7.737157821655273,db://104/xtal_74.cif,104
U6Si10,xtal_55,-123.74943542480469,-7.734339714050293,db://149/xtal_55.cif,149
U6Si10,xtal_93,-123.73168182373047,-7.733230113983154,db://50/xtal_93.cif,50
U6Si10,xtal_83,-123.68585968017578,-7.730366230010986,db://117/xtal_83.cif,117
U6Si10,xtal_8,-123.65721130371094,-7.728575706481934,db://31/xtal_8.cif,31
U6Si10,xtal_96,-123.62191009521484,-7.726369380950928,db://79/xtal_96.cif,79
U6Si10,xtal_57,-123.60230255126953,-7.725143909454346,db://7/xtal_57.cif,7
U6Si10,xtal_69,-123.57816314697266,-7.723635196685791,db://90/xtal_69.cif,90
U6Si10,xtal_57,-123.52429962158203,-7.720268726348877,db://176/xtal_57.cif,176
U6Si10,xtal_4,-123.4939193725586,-7.718369960784912,db://186/xtal_4.cif,186
U6Si10,xtal_86,-123.43656921386719,-7.714785575866699,db://58/xtal_86.cif,58
U6Si10,xtal_20,-123.41188049316406,-7.713242530822754,db://58/xtal_20.cif,58
U6Si10,xtal_31,-123.39539337158203,-7.712212085723877,db://82/xtal_31.cif,82
U6Si10,xtal_4,-123.34628295898438,-7.709142684936523,db://188/xtal_4.cif,188
U6Si10,xtal_96,-123.29212951660156,-7.705758094787598,db://131/xtal_96.cif,131
U6Si10,xtal_38,-123.24560546875,-7.702850341796875,db://23/xtal_38.cif,23
U6Si10,xtal_97,-123.21766662597656,-7.701104164123535,db://50/xtal_97.cif,50
U9Si15,xtal_37,-184.8009033203125,-7.7000376383463545,db://143/xtal_37.cif,143
U6Si10,xtal_37,-123.16947174072266,-7.698091983795166,db://176/xtal_37.cif,176
U6Si10,xtal_1,-123.09356689453125,-7.693347930908203,db://113/xtal_1.cif,113
U9Si15,xtal_74,-184.60870361328125,-7.692029317220052,db://146/xtal_74.cif,146
U6Si10,xtal_1,-123.04954528808594,-7.690596580505371,db://31/xtal_1.cif,31
U6Si10,xtal_19,-123.03028106689453,-7.689392566680908,db://13/xtal_19.cif,13
U6Si10,xtal_83,-123.00413513183594,-7.687758445739746,db://7/xtal_83.cif,7
U6Si10,xtal_82,-122.97046661376953,-7.685654163360596,db://94/xtal_82.cif,94
U3Si5,xtal_73,-61.4708137512207,-7.683851718902588,db://10/xtal_73.cif,10
U6Si10,xtal_50,-122.90697479248047,-7.681685924530029,db://11/xtal_50.cif,11
U6Si10,xtal_75,-122.87935638427734,-7.679959774017334,db://18/xtal_75.cif,18
U6Si10,xtal_39,-122.85748291015625,-7.678592681884766,db://103/xtal_39.cif,103
U6Si10,xtal_17,-122.82693481445312,-7.67668342590332,db://4/xtal_17.cif,4
U9Si15,xtal_17,-184.21180725097656,-7.67549196879069,db://145/xtal_17.cif,145
U3Si5,xtal_59,-61.365760803222656,-7.670720100402832,db://189/xtal_59.cif,189
U6Si10,xtal_24,-122.71355438232422,-7.669597148895264,db://81/xtal_24.cif,81
