Chemical_Formula,CIF_Base_Name,Total_Energy_eV,Energy_per_Atom_eV,Relaxed_CIF_Path,SG_ori
U6Si10,xtal_1,-117.23152923583984,-7.32697057723999,db://2/xtal_1.cif,2
U3Si5,xtal_10,-57.969242095947266,-7.246155261993408,db://2/xtal_10.cif,2
U9Si15,xtal_100,-163.81773376464844,-6.825738906860352,db://2/xtal_100.cif,2
U3Si5,xtal_11,-55.60563659667969,-6.950704574584961,db://2/xtal_11.cif,2
U6Si10,xtal_12,-106.70327758789062,-6.668954849243164,db://2/xtal_12.cif,2
U3Si5,xtal_13,-55.372859954833984,-6.921607494354248,db://2/xtal_13.cif,2
U6Si10,xtal_14,-113.68267822265625,-7.105167388916016,db://2/xtal_14.cif,2
U6Si10,xtal_15,-117.7859115600586,-7.361619472503662,db://2/xtal_15.cif,2
U9Si15,xtal_16,-170.39027404785156,-7.099594751993815,db://2/xtal_16.cif,2
U6Si10,xtal_17,-111.66952514648438,-6.979345321655273,db://2/xtal_17.cif,2
U3Si5,xtal_18,-52.58450698852539,-6.573063373565674,db://2/xtal_18.cif,2
U9Si15,xtal_19,-176.70535278320312,-7.362723032633464,db://2/xtal_19.cif,2
U6Si10,xtal_2,-112.60570526123047,-7.037856578826904,db://2/xtal_2.cif,2
U9Si15,xtal_20,-174.6638641357422,-7.277661005655925,db://2/xtal_20.cif,2
U6Si10,xtal_21,-119.49930572509766,-7.4687066078186035,db://2/xtal_21.cif,2
U3Si5,xtal_22,-52.690582275390625,-6.586322784423828,db://2/xtal_22.cif,2
U3Si5,xtal_23,-52.085853576660156,-6.5107316970825195,db://2/xtal_23.cif,2
U9Si15,xtal_24,-163.23199462890625,-6.801333109537761,db://2/xtal_24.cif,2
U3Si5,xtal_25,-59.890953063964844,-7.4863691329956055,db://2/xtal_25.cif,2
U3Si5,xtal_26,-58.169368743896484,-7.2711710929870605,db://2/xtal_26.cif,2
U9Si15,xtal_27,-164.4578857421875,-6.8524119059244795,db://2/xtal_27.cif,2
U3Si5,xtal_28,-56.561431884765625,-7.070178985595703,db://2/xtal_28.cif,2
U9Si15,xtal_29,-174.13616943359375,-7.255673726399739,db://2/xtal_29.cif,2
U6Si10,xtal_3,-113.92823028564453,-7.120514392852783,db://2/xtal_3.cif,2
U6Si10,xtal_30,-108.43568420410156,-6.777230262756348,db://2/xtal_30.cif,2
U9Si15,xtal_31,-169.13296508789062,-7.047206878662109,db://2/xtal_31.cif,2
U9Si15,xtal_32,-163.16424560546875,-6.798510233561198,db://2/xtal_32.cif,2
U6Si10,xtal_33,-109.44271850585938,-6.840169906616211,db://2/xtal_33.cif,2
U3Si5,xtal_34,-53.98543930053711,-6.748179912567139,db://2/xtal_34.cif,2
U6Si10,xtal_35,-111.88365936279297,-6.9927287101745605,db://2/xtal_35.cif,2
U6Si10,xtal_36,-114.68016815185547,-7.167510509490967,db://2/xtal_36.cif,2
U6Si10,xtal_37,-110.38739013671875,-6.899211883544922,db://2/xtal_37.cif,2
U9Si15,xtal_38,-177.77407836914062,-7.407253265380859,db://2/xtal_38.cif,2
