filename,filepath,tsne_dim1,tsne_dim2
xtal_1.cif,./U3Si5/2/xtal_1.cif,-73.8004,8.579597
xtal_10.cif,./U3Si5/2/xtal_10.cif,-15.073331,8.02763
xtal_100.cif,./U3Si5/2/xtal_100.cif,14.872828,-106.53673
xtal_11.cif,./U3Si5/2/xtal_11.cif,69.610535,4.3617697
xtal_12.cif,./U3Si5/2/xtal_12.cif,21.784899,-50.335804
xtal_13.cif,./U3Si5/2/xtal_13.cif,-70.57592,-19.306932
xtal_14.cif,./U3Si5/2/xtal_14.cif,-45.41117,-50.343296
xtal_15.cif,./U3Si5/2/xtal_15.cif,-66.00189,67.7359
xtal_16.cif,./U3Si5/2/xtal_16.cif,-6.7925177,-30.718914
xtal_17.cif,./U3Si5/2/xtal_17.cif,8.458153,-84.751366
xtal_18.cif,./U3Si5/2/xtal_18.cif,22.66128,-57.479794
xtal_19.cif,./U3Si5/2/xtal_19.cif,-98.92798,0.030336572
xtal_2.cif,./U3Si5/2/xtal_2.cif,-5.938713,-33.33554
xtal_20.cif,./U3Si5/2/xtal_20.cif,-77.71055,4.188063
xtal_21.cif,./U3Si5/2/xtal_21.cif,-94.73196,36.210167
xtal_22.cif,./U3Si5/2/xtal_22.cif,-55.14045,-77.47692
xtal_23.cif,./U3Si5/2/xtal_23.cif,-42.600655,40.523525
xtal_24.cif,./U3Si5/2/xtal_24.cif,14.56177,-30.882654
xtal_25.cif,./U3Si5/2/xtal_25.cif,-40.28318,89.59142
xtal_26.cif,./U3Si5/2/xtal_26.cif,-101.64619,13.922072
xtal_27.cif,./U3Si5/2/xtal_27.cif,-5.6673455,-102.72867
xtal_28.cif,./U3Si5/2/xtal_28.cif,-42.60489,-46.560444
xtal_29.cif,./U3Si5/2/xtal_29.cif,-55.074158,-33.355053
xtal_3.cif,./U3Si5/2/xtal_3.cif,-6.5611024,-14.332452
xtal_30.cif,./U3Si5/2/xtal_30.cif,18.33964,-2.231944
xtal_31.cif,./U3Si5/2/xtal_31.cif,-6.2082944,-34.22563
xtal_32.cif,./U3Si5/2/xtal_32.cif,19.11505,-106.42417
xtal_33.cif,./U3Si5/2/xtal_33.cif,-26.985018,-96.372406
xtal_34.cif,./U3Si5/2/xtal_34.cif,50.623146,-69.98709
xtal_35.cif,./U3Si5/2/xtal_35.cif,18.22108,-106.788414
xtal_36.cif,./U3Si5/2/xtal_36.cif,-84.16717,-20.087435
xtal_37.cif,./U3Si5/2/xtal_37.cif,8.547907,-30.92137
xtal_38.cif,./U3Si5/2/xtal_38.cif,-85.23518,22.266819
xtal_39.cif,./U3Si5/2/xtal_39.cif,-88.63456,-27.488028
xtal_4.cif,./U3Si5/2/xtal_4.cif,20.30288,-55.660114
xtal_40.cif,./U3Si5/2/xtal_40.cif,-79.73765,5.514531
xtal_41.cif,./U3Si5/2/xtal_41.cif,-77.69962,28.111414
xtal_42.cif,./U3Si5/2/xtal_42.cif,9.619929,-39.07659
xtal_43.cif,./U3Si5/2/xtal_43.cif,8.484799,-10.935407
xtal_44.cif,./U3Si5/2/xtal_44.cif,-74.33526,9.321731
xtal_46.cif,./U3Si5/2/xtal_46.cif,-32.617104,-93.45352
xtal_47.cif,./U3Si5/2/xtal_47.cif,-74.09537,-64.77537
xtal_48.cif,./U3Si5/2/xtal_48.cif,9.637212,-31.093157
xtal_49.cif,./U3Si5/2/xtal_49.cif,7.625948,-44.941853
xtal_5.cif,./U3Si5/2/xtal_5.cif,7.203206,-43.230133
xtal_50.cif,./U3Si5/2/xtal_50.cif,-9.658099,-102.99318
xtal_51.cif,./U3Si5/2/xtal_51.cif,7.7699428,-44.08095
xtal_52.cif,./U3Si5/2/xtal_52.cif,-5.553122,-32.273453
xtal_53.cif,./U3Si5/2/xtal_53.cif,33.18495,-2.2769516
xtal_54.cif,./U3Si5/2/xtal_54.cif,-52.669685,-25.685873
xtal_55.cif,./U3Si5/2/xtal_55.cif,-44.02785,96.41483
xtal_56.cif,./U3Si5/2/xtal_56.cif,8.090176,-98.734795
xtal_57.cif,./U3Si5/2/xtal_57.cif,-54.764996,-33.34497
xtal_58.cif,./U3Si5/2/xtal_58.cif,46.99764,-21.592155
xtal_59.cif,./U3Si5/2/xtal_59.cif,7.317816,-43.23801
xtal_60.cif,./U3Si5/2/xtal_60.cif,-3.8172736,-102.829254
xtal_61.cif,./U3Si5/2/xtal_61.cif,-8.159082,-16.013014
xtal_62.cif,./U3Si5/2/xtal_62.cif,35.282047,-96.843445
xtal_63.cif,./U3Si5/2/xtal_63.cif,-30.610441,-87.4191
xtal_64.cif,./U3Si5/2/xtal_64.cif,-6.0332265,-33.368267
xtal_65.cif,./U3Si5/2/xtal_65.cif,-25.10067,-91.32993
xtal_66.cif,./U3Si5/2/xtal_66.cif,-72.962685,-65.20138
xtal_67.cif,./U3Si5/2/xtal_67.cif,-55.10676,80.070366
xtal_68.cif,./U3Si5/2/xtal_68.cif,-67.42145,65.76826
xtal_69.cif,./U3Si5/2/xtal_69.cif,-9.805542,-88.6467
xtal_7.cif,./U3Si5/2/xtal_7.cif,-7.7364597,-99.881256
xtal_70.cif,./U3Si5/2/xtal_70.cif,-73.996284,14.876027
xtal_71.cif,./U3Si5/2/xtal_71.cif,16.110973,-53.747066
xtal_72.cif,./U3Si5/2/xtal_72.cif,-32.151264,-93.60356
