filename,filepath,tsne_dim1,tsne_dim2
xtal_1.cif,./U3Si5/__initial__/2/xtal_1.cif,-34.43875,-4.1998744
xtal_10.cif,./U3Si5/__initial__/2/xtal_10.cif,56.79896,4.908354
xtal_100.cif,./U3Si5/__initial__/2/xtal_100.cif,1.4590601,-86.825775
xtal_11.cif,./U3Si5/__initial__/2/xtal_11.cif,33.617218,-45.289406
xtal_12.cif,./U3Si5/__initial__/2/xtal_12.cif,39.815662,-81.79285
xtal_13.cif,./U3Si5/__initial__/2/xtal_13.cif,98.456604,18.401728
xtal_14.cif,./U3Si5/__initial__/2/xtal_14.cif,-20.601221,-50.382256
xtal_15.cif,./U3Si5/__initial__/2/xtal_15.cif,-38.83843,58.843353
xtal_16.cif,./U3Si5/__initial__/2/xtal_16.cif,-35.19968,-62.016724
xtal_17.cif,./U3Si5/__initial__/2/xtal_17.cif,39.657677,-74.695786
xtal_18.cif,./U3Si5/__initial__/2/xtal_18.cif,22.873999,-64.06155
xtal_19.cif,./U3Si5/__initial__/2/xtal_19.cif,-58.051304,-2.030316
xtal_2.cif,./U3Si5/__initial__/2/xtal_2.cif,-6.1352515,-72.61587
xtal_20.cif,./U3Si5/__initial__/2/xtal_20.cif,-60.083233,-20.800198
xtal_21.cif,./U3Si5/__initial__/2/xtal_21.cif,-63.9849,30.496721
xtal_22.cif,./U3Si5/__initial__/2/xtal_22.cif,-59.26186,-53.672993
xtal_23.cif,./U3Si5/__initial__/2/xtal_23.cif,-42.584087,22.840643
xtal_24.cif,./U3Si5/__initial__/2/xtal_24.cif,2.5532057,-93.71075
xtal_25.cif,./U3Si5/__initial__/2/xtal_25.cif,11.290868,61.68131
xtal_26.cif,./U3Si5/__initial__/2/xtal_26.cif,-57.0827,-1.2040147
xtal_27.cif,./U3Si5/__initial__/2/xtal_27.cif,17.253534,-92.44891
xtal_28.cif,./U3Si5/__initial__/2/xtal_28.cif,92.48991,-37.47055
xtal_29.cif,./U3Si5/__initial__/2/xtal_29.cif,-60.08746,-16.08501
xtal_3.cif,./U3Si5/__initial__/2/xtal_3.cif,-14.041527,-45.961494
xtal_30.cif,./U3Si5/__initial__/2/xtal_30.cif,35.90229,-73.71081
xtal_31.cif,./U3Si5/__initial__/2/xtal_31.cif,-9.61366,-76.243256
xtal_32.cif,./U3Si5/__initial__/2/xtal_32.cif,31.866966,-86.587364
xtal_33.cif,./U3Si5/__initial__/2/xtal_33.cif,-18.667997,-82.607086
xtal_34.cif,./U3Si5/__initial__/2/xtal_34.cif,48.619072,-66.24879
xtal_35.cif,./U3Si5/__initial__/2/xtal_35.cif,15.944169,-59.69591
xtal_36.cif,./U3Si5/__initial__/2/xtal_36.cif,-55.21311,-52.946846
xtal_37.cif,./U3Si5/__initial__/2/xtal_37.cif,84.9542,-61.087288
xtal_38.cif,./U3Si5/__initial__/2/xtal_38.cif,-59.78743,27.067339
xtal_39.cif,./U3Si5/__initial__/2/xtal_39.cif,-37.593113,2.7511432
xtal_4.cif,./U3Si5/__initial__/2/xtal_4.cif,17.805227,-92.18469
xtal_40.cif,./U3Si5/__initial__/2/xtal_40.cif,-37.87486,11.507759
xtal_41.cif,./U3Si5/__initial__/2/xtal_41.cif,-46.96389,28.790878
xtal_42.cif,./U3Si5/__initial__/2/xtal_42.cif,-8.632375,-67.99295
xtal_43.cif,./U3Si5/__initial__/2/xtal_43.cif,2.1893551,-90.03994
xtal_44.cif,./U3Si5/__initial__/2/xtal_44.cif,-60.005524,-5.63013
xtal_45.cif,./U3Si5/2/xtal_45.cif,-80.90097,-18.543287
xtal_46.cif,./U3Si5/__initial__/2/xtal_46.cif,-40.33288,-63.494564
xtal_47.cif,./U3Si5/__initial__/2/xtal_47.cif,-43.088863,-30.680704
xtal_48.cif,./U3Si5/__initial__/2/xtal_48.cif,-19.128683,-83.713
xtal_49.cif,./U3Si5/__initial__/2/xtal_49.cif,2.835484,-94.01531
xtal_5.cif,./U3Si5/__initial__/2/xtal_5.cif,-51.697994,-73.53953
xtal_50.cif,./U3Si5/__initial__/2/xtal_50.cif,2.2262778,-92.40697
xtal_51.cif,./U3Si5/__initial__/2/xtal_51.cif,-2.0658617,-62.741608
xtal_52.cif,./U3Si5/__initial__/2/xtal_52.cif,47.79826,-51.573513
xtal_53.cif,./U3Si5/__initial__/2/xtal_53.cif,39.5862,-75.968124
xtal_54.cif,./U3Si5/__initial__/2/xtal_54.cif,-70.01051,-29.85686
xtal_55.cif,./U3Si5/__initial__/2/xtal_55.cif,-20.348803,60.12684
xtal_56.cif,./U3Si5/__initial__/2/xtal_56.cif,0.90168524,-88.17912
xtal_57.cif,./U3Si5/__initial__/2/xtal_57.cif,-39.859867,-40.599686
xtal_58.cif,./U3Si5/__initial__/2/xtal_58.cif,50.034874,-26.712757
xtal_59.cif,./U3Si5/__initial__/2/xtal_59.cif,-12.468069,-78.13754
xtal_6.cif,./U3Si5/2/xtal_6.cif,31.194618,-41.91029
xtal_60.cif,./U3Si5/__initial__/2/xtal_60.cif,-5.9808574,-78.623665
xtal_61.cif,./U3Si5/__initial__/2/xtal_61.cif,-59.80747,-46.026188
xtal_62.cif,./U3Si5/__initial__/2/xtal_62.cif,32.59562,-89.37428
xtal_63.cif,./U3Si5/__initial__/2/xtal_63.cif,-31.585052,-67.29934
xtal_64.cif,./U3Si5/__initial__/2/xtal_64.cif,-19.145782,-46.7901
xtal_65.cif,./U3Si5/__initial__/2/xtal_65.cif,-26.429903,-85.38545
xtal_66.cif,./U3Si5/__initial__/2/xtal_66.cif,-57.655956,-71.05725
xtal_67.cif,./U3Si5/__initial__/2/xtal_67.cif,-30.106798,77.3208
xtal_68.cif,./U3Si5/__initial__/2/xtal_68.cif,66.022026,28.730625
xtal_69.cif,./U3Si5/__initial__/2/xtal_69.cif,-31.401918,-78.15155
xtal_7.cif,./U3Si5/__initial__/2/xtal_7.cif,67.54693,-77.80696
xtal_70.cif,./U3Si5/__initial__/2/xtal_70.cif,60.67297,4.199669
xtal_71.cif,./U3Si5/__initial__/2/xtal_71.cif,10.366576,-95.504776
xtal_72.cif,./U3Si5/__initial__/2/xtal_72.cif,45.304977,-64.62742
xtal_73.cif,./U3Si5/__initial__/2/xtal_73.cif,-49.910603,-45.619877
xtal_74.cif,./U3Si5/__initial__/2/xtal_74.cif,35.795704,-81.51515
xtal_75.cif,./U3Si5/__initial__/2/xtal_75.cif,-55.311363,-47.697727
xtal_76.cif,./U3Si5/__initial__/2/xtal_76.cif,-71.30149,-12.392705
xtal_77.cif,./U3Si5/__initial__/2/xtal_77.cif,45.39822,-79.09221
xtal_78.cif,./U3Si5/__initial__/2/xtal_78.cif,32.28075,-57.525837
xtal_79.cif,./U3Si5/__initial__/2/xtal_79.cif,17.618177,-94.39251
xtal_8.cif,./U3Si5/__initial__/2/xtal_8.cif,-34.821568,78.87565
xtal_80.cif,./U3Si5/__initial__/2/xtal_80.cif,-31.598764,46.407494
xtal_81.cif,./U3Si5/__initial__/2/xtal_81.cif,-62.269955,30.429037
xtal_82.cif,./U3Si5/__initial__/2/xtal_82.cif,-38.324028,-63.560974
xtal_83.cif,./U3Si5/__initial__/2/xtal_83.cif,-56.529778,41.41978
xtal_84.cif,./U3Si5/__initial__/2/xtal_84.cif,-29.10437,10.76582
xtal_85.cif,./U3Si5/__initial__/2/xtal_85.cif,-20.994902,72.944565
xtal_86.cif,./U3Si5/__initial__/2/xtal_86.cif,-54.943134,42.579006
xtal_87.cif,./U3Si5/__initial__/2/xtal_87.cif,33.17838,-73.72807
xtal_88.cif,./U3Si5/__initial__/2/xtal_88.cif,-10.262932,12.894146
xtal_89.cif,./U3Si5/__initial__/2/xtal_89.cif,-6.295276,74.33446
xtal_9.cif,./U3Si5/__initial__/2/xtal_9.cif,-37.65075,-46.10374
xtal_90.cif,./U3Si5/__initial__/2/xtal_90.cif,-60.778915,-19.081663
xtal_91.cif,./U3Si5/__initial__/2/xtal_91.cif,72.68919,41.957916
xtal_92.cif,./U3Si5/__initial__/2/xtal_92.cif,-77.702965,-20.889692
xtal_93.cif,./U3Si5/__initial__/2/xtal_93.cif,-30.09861,69.85228
xtal_94.cif,./U3Si5/__initial__/2/xtal_94.cif,17.377777,-92.79545
xtal_95.cif,./U3Si5/__initial__/2/xtal_95.cif,23.584415,-40.68299
xtal_96.cif,./U3Si5/__initial__/2/xtal_96.cif,50.271618,5.324619
xtal_97.cif,./U3Si5/__initial__/2/xtal_97.cif,-38.30925,-65.333565
xtal_98.cif,./U3Si5/__initial__/2/xtal_98.cif,-4.1492662,-99.23
xtal_99.cif,./U3Si5/__initial__/2/xtal_99.cif,11.227418,-95.910995
xtal_10.cif,./U3Si5/__initial__/3/xtal_10.cif,46.257816,-29.05251
xtal_100.cif,./U3Si5/__initial__/3/xtal_100.cif,41.366364,35.02538
xtal_11.cif,./U3Si5/__initial__/3/xtal_11.cif,83.232605,29.061087
xtal_12.cif,./U3Si5/__initial__/3/xtal_12.cif,-28.563126,35.18306
xtal_13.cif,./U3Si5/__initial__/3/xtal_13.cif,-5.1195664,2.547757
xtal_14.cif,./U3Si5/__initial__/3/xtal_14.cif,-4.843505,13.118866
xtal_15.cif,./U3Si5/__initial__/3/xtal_15.cif,79.79602,-79.30469
xtal_16.cif,./U3Si5/__initial__/3/xtal_16.cif,6.1888127,37.931522
xtal_17.cif,./U3Si5/__initial__/3/xtal_17.cif,44.67882,-29.92556
xtal_19.cif,./U3Si5/__initial__/3/xtal_19.cif,0.8836835,-23.331795
xtal_2.cif,./U3Si5/__initial__/3/xtal_2.cif,5.389073,-8.246645
