filename,filepath,tsne_dim1,tsne_dim2
xtal_1.cif,./U3Si5/__initial__/2/xtal_1.cif,-34.43875,-4.1998744
xtal_10.cif,./U3Si5/__initial__/2/xtal_10.cif,56.799175,4.908548
xtal_100.cif,./U3Si5/__initial__/2/xtal_100.cif,1.4590601,-86.825775
xtal_11.cif,./U3Si5/__initial__/2/xtal_11.cif,33.617218,-45.289406
xtal_12.cif,./U3Si5/__initial__/2/xtal_12.cif,39.815662,-81.79285
xtal_13.cif,./U3Si5/__initial__/2/xtal_13.cif,98.456604,18.401728
xtal_14.cif,./U3Si5/__initial__/2/xtal_14.cif,-20.601234,-50.38217
xtal_15.cif,./U3Si5/__initial__/2/xtal_15.cif,-38.837936,58.84316
xtal_16.cif,./U3Si5/__initial__/2/xtal_16.cif,-35.199528,-62.01311
xtal_17.cif,./U3Si5/__initial__/2/xtal_17.cif,39.657677,-74.695786
xtal_18.cif,./U3Si5/__initial__/2/xtal_18.cif,22.874004,-64.061905
xtal_19.cif,./U3Si5/__initial__/2/xtal_19.cif,-58.051647,-2.0302668
xtal_2.cif,./U3Si5/__initial__/2/xtal_2.cif,-6.1351695,-72.61607
xtal_20.cif,./U3Si5/__initial__/2/xtal_20.cif,-60.083233,-20.800198
xtal_21.cif,./U3Si5/__initial__/2/xtal_21.cif,-63.9844,30.496635
xtal_22.cif,./U3Si5/__initial__/2/xtal_22.cif,-59.261776,-53.67289
xtal_23.cif,./U3Si5/__initial__/2/xtal_23.cif,-42.584087,22.840643
xtal_24.cif,./U3Si5/__initial__/2/xtal_24.cif,2.553079,-93.71121
xtal_25.cif,./U3Si5/__initial__/2/xtal_25.cif,11.29087,61.68165
xtal_26.cif,./U3Si5/__initial__/2/xtal_26.cif,-57.0827,-1.2040147
xtal_27.cif,./U3Si5/__initial__/2/xtal_27.cif,17.256102,-92.4483
xtal_28.cif,./U3Si5/__initial__/2/xtal_28.cif,92.48869,-37.468506
xtal_29.cif,./U3Si5/__initial__/2/xtal_29.cif,-60.08746,-16.08501
xtal_3.cif,./U3Si5/__initial__/2/xtal_3.cif,-14.040986,-45.96181
xtal_30.cif,./U3Si5/__initial__/2/xtal_30.cif,35.90228,-73.71087
xtal_31.cif,./U3Si5/__initial__/2/xtal_31.cif,-9.613647,-76.24286
xtal_32.cif,./U3Si5/__initial__/2/xtal_32.cif,31.865803,-86.5845
xtal_33.cif,./U3Si5/__initial__/2/xtal_33.cif,-18.667852,-82.60722
xtal_34.cif,./U3Si5/__initial__/2/xtal_34.cif,48.61683,-66.24737
xtal_35.cif,./U3Si5/__initial__/2/xtal_35.cif,15.944126,-59.69597
xtal_36.cif,./U3Si5/__initial__/2/xtal_36.cif,-55.21311,-52.946846
xtal_37.cif,./U3Si5/__initial__/2/xtal_37.cif,84.94938,-61.088474
xtal_38.cif,./U3Si5/__initial__/2/xtal_38.cif,-59.78743,27.067339
xtal_39.cif,./U3Si5/__initial__/2/xtal_39.cif,-37.593113,2.7511432
xtal_4.cif,./U3Si5/__initial__/2/xtal_4.cif,17.805145,-92.18587
xtal_40.cif,./U3Si5/__initial__/2/xtal_40.cif,-37.87486,11.507759
xtal_41.cif,./U3Si5/__initial__/2/xtal_41.cif,-46.96328,28.790956
xtal_42.cif,./U3Si5/__initial__/2/xtal_42.cif,-8.632371,-67.99358
xtal_43.cif,./U3Si5/__initial__/2/xtal_43.cif,2.1900625,-90.04011
xtal_44.cif,./U3Si5/__initial__/2/xtal_44.cif,-60.005524,-5.63013
xtal_45.cif,./U3Si5/2/xtal_45.cif,-80.905464,-18.541887
xtal_46.cif,./U3Si5/__initial__/2/xtal_46.cif,-40.33291,-63.49615
xtal_47.cif,./U3Si5/__initial__/2/xtal_47.cif,-43.092415,-30.678753
xtal_48.cif,./U3Si5/__initial__/2/xtal_48.cif,-19.128452,-83.71415
xtal_49.cif,./U3Si5/__initial__/2/xtal_49.cif,2.8355317,-94.0139
xtal_5.cif,./U3Si5/__initial__/2/xtal_5.cif,-51.697994,-73.53953
xtal_50.cif,./U3Si5/__initial__/2/xtal_50.cif,2.226288,-92.40653
xtal_51.cif,./U3Si5/__initial__/2/xtal_51.cif,-2.0658617,-62.741608
xtal_52.cif,./U3Si5/__initial__/2/xtal_52.cif,47.797585,-51.57316
xtal_53.cif,./U3Si5/__initial__/2/xtal_53.cif,39.585827,-75.96711
xtal_54.cif,./U3Si5/__initial__/2/xtal_54.cif,-70.01053,-29.857065
xtal_55.cif,./U3Si5/__initial__/2/xtal_55.cif,-20.348803,60.12684
xtal_56.cif,./U3Si5/__initial__/2/xtal_56.cif,0.9016091,-88.179436
xtal_57.cif,./U3Si5/__initial__/2/xtal_57.cif,-39.86045,-40.599995
xtal_58.cif,./U3Si5/__initial__/2/xtal_58.cif,50.034874,-26.712757
xtal_59.cif,./U3Si5/__initial__/2/xtal_59.cif,-12.468069,-78.13754
xtal_6.cif,./U3Si5/2/xtal_6.cif,31.194614,-41.910267
xtal_60.cif,./U3Si5/__initial__/2/xtal_60.cif,-5.9808574,-78.623665
xtal_61.cif,./U3Si5/__initial__/2/xtal_61.cif,-59.807934,-46.026627
xtal_62.cif,./U3Si5/__initial__/2/xtal_62.cif,32.59562,-89.37428
xtal_63.cif,./U3Si5/__initial__/2/xtal_63.cif,-31.584993,-67.299324
xtal_64.cif,./U3Si5/__initial__/2/xtal_64.cif,-19.146307,-46.790276
xtal_65.cif,./U3Si5/__initial__/2/xtal_65.cif,-26.430103,-85.3859
xtal_66.cif,./U3Si5/__initial__/2/xtal_66.cif,-57.6602,-71.05539
xtal_67.cif,./U3Si5/__initial__/2/xtal_67.cif,-30.106798,77.3208
xtal_68.cif,./U3Si5/__initial__/2/xtal_68.cif,66.02333,28.730608
xtal_69.cif,./U3Si5/__initial__/2/xtal_69.cif,-31.402252,-78.156364
xtal_7.cif,./U3Si5/__initial__/2/xtal_7.cif,67.54693,-77.80696
xtal_70.cif,./U3Si5/__initial__/2/xtal_70.cif,60.67297,4.199669
xtal_71.cif,./U3Si5/__initial__/2/xtal_71.cif,10.366628,-95.50482
xtal_72.cif,./U3Si5/__initial__/2/xtal_72.cif,45.30621,-64.6293
xtal_73.cif,./U3Si5/__initial__/2/xtal_73.cif,-49.91048,-45.6197
xtal_74.cif,./U3Si5/__initial__/2/xtal_74.cif,35.795437,-81.51558
xtal_75.cif,./U3Si5/__initial__/2/xtal_75.cif,-55.311363,-47.697727
xtal_76.cif,./U3Si5/__initial__/2/xtal_76.cif,-71.30195,-12.392628
xtal_77.cif,./U3Si5/__initial__/2/xtal_77.cif,45.400246,-79.09121
xtal_78.cif,./U3Si5/__initial__/2/xtal_78.cif,32.28075,-57.525837
xtal_79.cif,./U3Si5/__initial__/2/xtal_79.cif,17.618128,-94.392784
xtal_8.cif,./U3Si5/__initial__/2/xtal_8.cif,-34.821514,78.8728
xtal_80.cif,./U3Si5/__initial__/2/xtal_80.cif,-31.598417,46.40746
xtal_81.cif,./U3Si5/__initial__/2/xtal_81.cif,-62.269955,30.429037
xtal_82.cif,./U3Si5/__initial__/2/xtal_82.cif,-38.324028,-63.560974
xtal_83.cif,./U3Si5/__initial__/2/xtal_83.cif,-56.529778,41.41978
xtal_84.cif,./U3Si5/__initial__/2/xtal_84.cif,-29.10437,10.76582
xtal_85.cif,./U3Si5/__initial__/2/xtal_85.cif,-20.994902,72.944565
xtal_86.cif,./U3Si5/__initial__/2/xtal_86.cif,-54.943,42.57912
xtal_87.cif,./U3Si5/__initial__/2/xtal_87.cif,33.17838,-73.72807
xtal_88.cif,./U3Si5/__initial__/2/xtal_88.cif,-10.262876,12.894217
xtal_89.cif,./U3Si5/__initial__/2/xtal_89.cif,-6.295493,74.33488
xtal_9.cif,./U3Si5/__initial__/2/xtal_9.cif,-37.651016,-46.104527
xtal_90.cif,./U3Si5/__initial__/2/xtal_90.cif,-60.778812,-19.081604
xtal_91.cif,./U3Si5/__initial__/2/xtal_91.cif,72.68919,41.957916
xtal_92.cif,./U3Si5/__initial__/2/xtal_92.cif,-77.702965,-20.889692
xtal_93.cif,./U3Si5/__initial__/2/xtal_93.cif,-30.098574,69.85379
xtal_94.cif,./U3Si5/__initial__/2/xtal_94.cif,17.377777,-92.79545
xtal_95.cif,./U3Si5/__initial__/2/xtal_95.cif,23.583967,-40.679874
xtal_96.cif,./U3Si5/__initial__/2/xtal_96.cif,50.27154,5.3246183
xtal_97.cif,./U3Si5/__initial__/2/xtal_97.cif,-38.30952,-65.33336
xtal_98.cif,./U3Si5/__initial__/2/xtal_98.cif,-4.1492715,-99.23077
xtal_99.cif,./U3Si5/__initial__/2/xtal_99.cif,11.227628,-95.91333
xtal_1.cif,./U3Si5/3/xtal_1.cif,17.541538,-94.92212
xtal_10.cif,./U3Si5/__initial__/3/xtal_10.cif,46.257816,-29.05251
xtal_100.cif,./U3Si5/__initial__/3/xtal_100.cif,41.366364,35.02538
xtal_11.cif,./U3Si5/__initial__/3/xtal_11.cif,83.232506,29.06042
xtal_12.cif,./U3Si5/__initial__/3/xtal_12.cif,-28.564234,35.183113
xtal_13.cif,./U3Si5/__initial__/3/xtal_13.cif,-5.1195664,2.547757
xtal_14.cif,./U3Si5/__initial__/3/xtal_14.cif,-4.8435497,13.118861
xtal_15.cif,./U3Si5/__initial__/3/xtal_15.cif,79.79602,-79.30469
xtal_16.cif,./U3Si5/__initial__/3/xtal_16.cif,6.1887984,37.931553
xtal_17.cif,./U3Si5/__initial__/3/xtal_17.cif,44.67882,-29.92556
xtal_18.cif,./U3Si5/3/xtal_18.cif,-14.367517,-51.84787
xtal_19.cif,./U3Si5/__initial__/3/xtal_19.cif,0.8836247,-23.33162
xtal_2.cif,./U3Si5/__initial__/3/xtal_2.cif,5.3891788,-8.246712
xtal_20.cif,./U3Si5/__initial__/3/xtal_20.cif,-46.80309,68.186264
xtal_21.cif,./U3Si5/__initial__/3/xtal_21.cif,-40.65325,16.757477
xtal_22.cif,./U3Si5/3/xtal_22.cif,-65.667046,17.509197
xtal_23.cif,./U3Si5/3/xtal_23.cif,1.2508596,-88.890686
xtal_24.cif,./U3Si5/__initial__/3/xtal_24.cif,13.796922,-1.8383129
xtal_25.cif,./U3Si5/__initial__/3/xtal_25.cif,-31.022,18.021309
xtal_26.cif,./U3Si5/__initial__/3/xtal_26.cif,10.172612,-0.46285114
xtal_27.cif,./U3Si5/3/xtal_27.cif,2.5051775,-70.505066
xtal_28.cif,./U3Si5/3/xtal_28.cif,-7.3558073,-55.526672
xtal_29.cif,./U3Si5/__initial__/3/xtal_29.cif,13.233377,-0.00400195
xtal_3.cif,./U3Si5/__initial__/3/xtal_3.cif,-1.3784624,26.798685
xtal_30.cif,./U3Si5/3/xtal_30.cif,-12.574109,7.151226
xtal_31.cif,./U3Si5/3/xtal_31.cif,-97.89743,18.652468
xtal_32.cif,./U3Si5/3/xtal_32.cif,-16.535156,-89.52593
